consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
"to enter into chemical union, &",1,1.857,3,true,"",LH1980Lancaster,false,1,1,3,162.72681510448456,1562.2315884828568,221.83931374549866,232.7943413257599
this is actually the case.-,2,1.857,3.8333333333333335,true,"",LH1980Lancaster,false,1,1,4,259.952684879303,1397.9061747789383,320.434556722641,334.12834119796753
- Copper & Zinc [deletion]w[/deletion]have been just,3,1.857,3,true,TEHark,FrankPearson,false,1,1,3,255.84454953670502,1521.1502350568771,449.15613079071045,449.15613079071045
adduced as an instance - Gold,4,1.857,3,true,"",FrankPearson,false,1,1,3,251.73641419410706,1492.3932876586914,535.4269729852676,557.3370281457901
"& Quicksilver -, Gold & Silver - Most",5,1.857,3.7777777777777777,true,"",LH1980Lancaster,false,1,1,4,233.93449437618256,1560.862210035324,636.760978102684,668.2566823959351
of the Metals - Sulphur & the,6,1.857,3,true,TEHark,FrankPearson,false,1,1,3,228.45698058605194,1400.6449316740036,750.4193775653839,769.5906758308411
Metals - The acids & the,7,1.857,3,true,"",LH1980Lancaster,false,1,1,3,233.93449437618256,1337.6535230875015,854.4921314716339,872.2940512895584
alkalies - the acids & the Earths,8,1.857,3,true,"",FrankPearson,false,1,1,3,248.99765729904175,1503.3483152389526,953.087379693985,981.8443270921707
are all possessed of affinity,9,1.857,3,true,TEHark,FrankPearson,false,1,1,3,272.27709090709686,1444.4650419950485,1051.682627916336,1098.2414951324463
& they all likewise exhibit under,10,1.857,3,true,TEHark,FrankPearson,false,1,1,3,261.32206332683563,1529.366505742073,1163.9716606140137,1225.593690752983
proper circumstances the electricity,11,1.857,3,true,TEHark,FrankPearson,false,1,1,3,242.15076506137848,1555.3846962451935,1272.1525112390518,1325.5582706928253
of contact -. All Bodies in,12,1.857,3,true,"",FrankPearson,false,1,1,3,251.73641419410706,1478.6995031833649,1372.1171379089355,1431.0004111528397
short that have been examined,13,1.857,3.8,true,deehar,FrankPearson,false,1,1,4,251.73641419410706,1543.0602902173996,1481.6674137115479,1532.334416270256
that enter into union with each,14,1.857,3,true,TEHark,FrankPearson,false,1,1,3,233.93449437618256,1510.195207476616,1581.6320403814316,1652.8397196531296
other: where the proper conditions,15,1.857,3,true,"",FrankPearson,false,1,1,3,227.0876021385193,1484.1770169734955,1689.8129448890686,1758.2818672657013
have been obtained have,16,1.857,3,true,TEHark,FrankPearson,false,1,1,3,251.73641419410706,1356.8248213529587,1788.4081931114197,1844.5527094602585
been [deletion][unclear]xxx[/unclear][/deletion]found oppositely electrical,17,1.857,3.5,true,deehar,FrankPearson,false,1,1,4,248.08804202079773,1556.7540746927261,1903.4260716438293,1976.0130404233932
& though in certain cases of,18,1.857,3,true,TEHark,FrankPearson,false,1,1,3,225.71822369098663,1436.2487713098526,2026.6800770759583,2101.995891690254
the exhibition of Electrical energy,19,1.857,3,true,TEHark,FrankPearson,false,1,1,3,222.97946679592133,1459.5282049179077,2148.5547391176224,2222.5011752843857
when one Body is compound,20,1.857,3,true,TEHark,FrankPearson,false,1,1,3,246.25890040397644,1315.743467926979,2238.9337166547775,2301.9251252412796
or when both are compound,21,1.857,3,true,TEHark,FrankPearson,false,1,1,3,236.67325127124786,1330.8066308498383,2333.4208295345306,2401.8897519111633
