consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
154,1,0.989,2,true,Nomad Purple,FrankPearson,false,1,4,2,2502.560008764267,2665.6445603370667,303.2750492095947,308.0021376609802
this merely depends upon the,2,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,852.8061392307281,2585.284056663513,499.4492199420929,468.72314500808716
[deletion]de[/deletion] great degree of Heat required,3,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,852.8061392307281,2606.555954694748,670.4581661797492,653.9133565999
to give perfect freedom of,4,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,859.8967719078064,2438.7443146705627,801.9828808307648,816.1641461849213
motion to their particles,5,0.989,2,true,"",FrankPearson,false,1,3,2,857.5332276821136,2393.8369743824005,929.6142690181732,960.340343952179
& to diminish their mutual,6,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,829.1706969738007,2568.739247083664,1083.2446327209473,1121.0613403320312
attraction - The densest,7,0.989,2.5,true,"",raspence,false,1,3,3,831.5342411994934,2410.3817839622498,1229.7843747138977,1251.0562727451324
metals are in general the,8,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,866.9874045848846,2450.5620357990265,1376.3241167068481,1376.3241167068481
"least combustible, the lightest",9,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,845.7155065536499,2545.1038048267365,1537.0451879501343,1534.6816437244415
the most combustible.- Thus,10,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,855.1696834564209,2552.1944375038147,1685.9484741687775,1707.2203722000122
between Potassium & Platina,11,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,826.8071527481079,2559.285070180893,1837.2153046131134,1884.4861891269684
there is a gradation not,12,0.989,2.6666666666666665,true,"",raspence,false,1,3,3,817.3529758453369,2521.468362569809,2002.6633422374725,2038.1165056228638
very irregular -,13,0.989,2,true,Nomad Purple,FrankPearson,false,1,3,2,845.7155065536499,1828.9499044418335,2161.0208053588867,2170.4749822616577
Potassium burns at common temps [insertion][underline]even on ice[/underline][/insertion],14,0.989,2,true,"",raspence,false,1,3,2,845.7155065536499,2634.918485403061,2302.8334589004517,2321.7418127059937
"[deletion]Zinc &[/deletion] [insertion]Antimony[/insertion], Arsenic. & Tin burn",15,0.989,2.625,true,"",raspence,false,1,3,4,871.7144930362701,2564.0121586322784,2496.644085407257,2534.460793018341
at a red heat. -,16,0.989,2,true,"",FrankPearson,false,1,3,2,921.3489217758179,2150.3919191360474,2619.548480987549,2624.2755694389343
Copper requires a [underline]white Heat[/underline],17,0.989,2,true,hoskinml,FrankPearson,false,1,3,2,970.9833505153656,2497.8329203128815,2770.815267086029,2813.3590631484985
[deletion]&[/deletion] Silver a strong [underline]white Heat.[/underline],18,0.989,2,true,"",FrankPearson,false,1,3,2,930.8030986785889,2670.371648788452,3023.714499235153,3078.0760164260864
- Gold & platina can only,19,0.989,2,true,"",FrankPearson,false,1,3,2,829.1706969738007,2377.2921648025513,3219.8886699676514,3217.5251257419586
be burnt by a [underline]heat[/underline] greater,20,0.989,2,true,"",FrankPearson,false,1,3,2,970.9833505153656,2630.1913969516754,3364.064867734909,3430.244106054306
