consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
"lean toward the ""idea"" of a chemical combination",1,-1.1619999999999777,2,true,"",plphy,false,1,1,2,129.86407102687429,1376.0253092452954,169.67820431099042,130.73566561666476
between the oxygene & [deletion]Hyd[/deletion] Nitrogene; |_but later,2,-1.1619999999999777,2.5714285714285716,true,"",raspence,false,1,1,3,166.02499981446238,1298.1402318566443,233.655232165954,202.13031988959514
& more mature observation has altered,3,-1.1619999999999777,2.8333333333333335,true,"",plphy,false,1,1,3,135.42729084034937,1276.8145559049894,313.394716159097,274.45217746477135
[underline]my notions[/underline] on the subject.-,4,-1.1619999999999777,2,false,"","",false,1,1,2,166.02499981446238,1087.6650822468364,408.8966562904195,357.9004746668978
"-( It was supposed [insertion]at that time[/insertion] "" that the Specific gravity",5,-1.1619999999999777,2.5454545454545454,true,"",plphy,false,1,1,3,248.546093714343,1415.895051241867,491.4177501903001,459.8928379139412
of Atmospherical Air was not a mean,6,-1.1619999999999777,2,true,"",plphy,false,1,1,2,181.78745595264184,1317.6115012038072,556.3219813475096,524.7970690711506
between the specific gravities of the aeriform,7,-1.1619999999999777,2.7142857142857144,true,sruston,plphy,false,1,1,3,199.40431869531295,1401.9870017081794,624.0078224114565,603.6093497620478
"substances composing it "" which appeared",8,-1.1619999999999777,2,false,"","",false,1,1,2,195.69550548632958,1305.5578582746111,705.6017130090912,673.1495974304864
a demonstration of chemical union. But,9,-1.1619999999999777,2.8333333333333335,false,"","",false,1,1,3,203.11313190429638,1380.6613257565245,764.0155210505797,740.8354384944334
"it is now known ""that this observation",10,-1.1619999999999777,2.857142857142857,false,"","",false,1,1,3,196.62270878857544,1348.2092101779199,835.4101753235101,819.6477191853306
[deletion]is erroneous[/deletion] was an error founded upon,11,-1.1619999999999777,2.857142857142857,false,"","",false,1,1,3,185.4962691616252,1337.08277055097,918.8584725256364,893.8239833649984
[deletion]an error[/deletion] mistake [underline]in the[/underline] composition,12,-1.1619999999999777,2.3333333333333335,false,"","",false,1,1,3,227.22041776268844,1305.5578582746111,989.3259234963209,964.291434335683
"of Air "" which after the authority of",13,-1.1619999999999777,2,false,"","",false,1,1,2,186.42347246387106,1290.7226054386774,1081.11905041866,1028.2684621906465
Lavoisier was considered as containing,14,-1.1619999999999777,2,false,"","",false,1,1,2,200.3315219975588,1336.1555672487239,1144.1688749713776,1119.1343858107398
"28 per cent of oxygene.""",15,-1.1619999999999777,2.8,true,"",raspence,false,1,1,3,197.5499120908213,833.6113774314738,1233.1803919869792,1222.981155662275
"- When oxygene, Nitrogene & Carbonic",16,-1.1619999999999777,2,false,"","",false,1,1,2,316.23193477828994,1306.4850615768569,1332.391145327285,1318.4830957935972
Acid are mixed together in y[superscript]e[/superscript] due proportions,17,-1.1619999999999777,2.875,false,"","",false,1,1,3,154.8985601875122,1369.5348861295747,1383.3873269508067,1375.042497230594
"there is no change of volume, yet",18,-1.1619999999999777,2.5714285714285716,false,"","",false,1,1,3,213.3123682290007,1188.7302421916315,1413.9850359249199,1395.4409698800027
they compose an elastic fluid having,19,-1.1619999999999777,2.6666666666666665,false,"","",false,1,1,3,167.8794064189541,1330.592347435249,1456.6363878282289,1441.8011349922954
all the [insertion]properties of Air[/insertion] |_There is [underline]no condensation[/underline] or,20,-1.1619999999999777,2.6,true,"",plphy,false,1,1,3,157.68017009424977,1348.2092101779199,1548.429514750568,1510.4141793584881
[underline]expansion[/underline] (when the carbonic acid & the,21,-1.1619999999999777,2.5,true,sruston,plphy,false,1,1,3,179.00584604590426,1346.3548035734284,1626.3145921392193,1587.3720534448937
oxygene are separated [underline]from the Nitrogene[/underline],22,-1.1619999999999777,2,false,"","",false,1,1,2,191.98669227734615,1387.1517488722457,1711.6172959458374,1683.801196878462
of [underline]the common Atmosphere[/underline]; yet this ought,23,-1.1619999999999777,2,false,"","",false,1,1,2,179.00584604590426,1361.1900564093621,1786.720763427751,1772.8127138940636
to happen [underline]if there was[/underline] any [underline]chemical[/underline],24,-1.1619999999999777,2.75,true,"",raspence,false,1,1,3,198.4771153930671,1376.0253092452954,1862.7514342119107,1858.1154177006815
union [underline]between[/underline] them.-,25,-1.1619999999999777,2.3333333333333335,true,sruston,plphy,false,1,1,3,188.27787906836278,817.8489212932943,1935.073291787087,1924.8740554623828
- Distilled water when agitated with Air,26,-1.1619999999999777,2.857142857142857,false,"","",false,1,1,3,292.1246489198979,1338.9371771554615,2013.8855724779844,1996.2687097353132
absorbs more of the oxygene than of the,27,-1.1619999999999777,2,false,"","",false,1,1,2,145.62652716505374,1319.4659078082987,2089.9162432621442,2071.372177217227
Nitrogene; though if these bodies were chemically,28,-1.1619999999999777,2.857142857142857,false,"","",false,1,1,3,118.73763139992408,1371.3892927340662,2167.8013206507953,2139.98522158342
combined it is scarcely possible that such an,29,-1.1619999999999777,2,false,"","",false,1,1,2,146.55373046729954,1352.845226689149,2236.414365016988,2230.851145203513
affinity could separate them.,30,-1.1619999999999777,2.75,false,"","",false,1,1,3,145.62652716505374,930.9677241672879,2289.2649532450014,2318.935458916869
