consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
9,1,-1.589999999999975,3,false,"","",false,1,3,3,2589.5783666639686,2772.174455904062,333.05812499901947,336.43963725143635
- During the progress of,2,-1.589999999999975,3,true,"",aplacey,false,1,2,3,847.2386577888715,2264.8228162989535,635.314929181479,567.695967204425
the pneumatic Chemistry; - The,3,-1.589999999999975,3,false,"","",false,1,2,3,984.8916196856426,2598.0878819437676,799.5325346095132,756.063178221059
Newtonian Doctrine of Elective,4,-1.589999999999975,3,false,"","",false,1,2,3,965.5719241599336,2561.8634182867227,966.1650674319203,925.1106384378393
affinity [insertion]or the selection of one body to the exclusion of a third[/insertion] was taken for granted.,5,-1.589999999999975,3,false,"","",false,1,2,3,955.9120487600067,2687.4414115667587,1135.2125276487004,1123.1377801285453
- the manner in which the,6,-1.589999999999975,3,true,"",aplacey,false,1,2,3,987.8561926089715,2619.9910742543575,1350.5463251624005,1273.0149540880634
gasses combined shewed that,7,-1.589999999999975,3,false,"","",false,1,2,3,987.8561926089715,2558.363513501175,1489.7051659872404,1436.0296013973148
[underline]the results[/underline] of their attractions,8,-1.589999999999975,3,false,"","",false,1,2,3,970.3061283367822,2752.527914936236,1635.249574780775,1639.7557558408075
[underline]were uniform[/underline]. M[superscript]r[/superscript] Higgins,9,-1.589999999999975,3,true,"",aplacey,false,1,2,3,999.596769356423,2567.771809838199,1763.6776946492928,1756.9183199193708
now professor of Chemistry,10,-1.589999999999975,3,false,"","",false,1,2,3,954.5342367769854,2392.028066860227,1941.6745281572812,1919.1433134374988
in Dublin in 1789. endeavored,11,-1.589999999999975,3,false,"","",false,1,2,3,1026.634268276111,2709.718679166561,2115.165116142816,2070.1026867032515
"to [deletion]shew[/deletion][insertion]prove[/insertion] that ""bodies combined",12,-1.589999999999975,3,true,"",aplacey,false,1,2,3,979.318645166657,2696.199929706717,2259.3651791410675,2187.2651476419414
[deletion][unclear]xxxxx[/unclear][/deletion] according to a corpuscular,13,-1.589999999999975,3,true,"",raspence,false,1,2,3,1000.7620851263665,2674.6444916154533,2416.8337352633575,2371.110166836689
"arrangement."" - one particle",14,-1.589999999999975,3,true,"",aplacey,false,1,2,3,990.8221809249751,2404.2788061290303,2554.004622548723,2502.3171025009515
with one or one with,15,-1.589999999999975,3,false,"","",false,1,2,3,1028.5938441910666,2465.9061848768533,2720.995267939603,2641.4760343284715
two or in some definite,16,-1.589999999999975,3,false,"","",false,1,2,3,1014.6779874093864,2461.9302777979046,2854.1902481460197,2796.5387764771453
number; - but the idea,17,-1.589999999999975,3,true,"",aplacey,false,1,2,3,998.1246101241939,2562.6678883926147,3003.1384901371157,2945.4869274655616
was develloped in an,18,-1.589999999999975,3,false,"","",false,1,2,3,975.8853908121056,2262.1110784335265,3140.9266338913703,3107.1308777042277
imperfect manner; & not with,19,-1.589999999999975,3,true,"",aplacey,false,1,2,3,987.8132940543112,2578.2005143519773,3270.145616016159,3240.325857910644
