consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
549,1,0.088,3,false,"","",false,1,2,3,999.0388259167978,1071.8819252501971,135.2010820654886,137.4084550910672
1 Exp[superscript]t[/superscript],2,0.088,3,false,"","",false,1,1,3,169.06974701072565,337.93315193540604,134.09741660376864,123.06059357801445
80 grs flowers Sulphur previously fused,3,0.088,3,false,"","",false,1,1,3,272.815879242601,1065.259764071323,172.72629719390824,204.73305870731218
80 grs Charcoal heated to whiteness,4,0.088,3,false,"","",false,1,1,3,251.84594075495122,1095.0592367634254,278.6797982411483,297.44242685642746
until it ceased to give flame,5,0.088,3,false,"","",false,1,1,3,365.52520949979146,1047.6008640709715,337.1749518572177,336.07130744656706
The glass tube heated to redness,6,0.088,3,false,"","",false,1,1,3,214.32072562653158,983.5873410441638,400.0848515244442,423.2621630376725
5 Cub In: gas obtained,7,0.088,3,false,"","",false,1,1,3,192.24707957502326,865.4932841460277,475.1352396791449,466.30578967896923
The Sulphur there fused & passed over,8,0.088,3,false,"","",false,1,1,3,208.8023141136545,1069.67451012248,522.5935702694601,522.5935702694601
13 Cub. In: more of gas obtained besides,9,0.088,3,false,"","",false,1,1,3,179.0029045747598,1068.57084466076,606.4734252651917,610.8881713163489
some [insertion]sulph[superscript]d[/superscript]. hydro[superscript]e[/superscript][/insertion] absorbed by the water. - & white [unclear]fu[/unclear],10,0.088,3,false,"","",false,1,1,3,222.0465101649872,1020.0088065065861,668.2796805217677,674.9017364452953
But the Sulphur passed over too rapidly,11,0.088,3,false,"","",false,1,1,3,153.61819898488366,1064.1560986096029,758.7815746001716,753.2631630872945
there was only a little of the liquor - the,12,0.088,3,false,"","",false,1,1,3,195.55811806232177,1074.089256173637,801.8252012414683,796.3067897285912
great part of the Sulphur was but little,13,0.088,3,false,"","",false,1,1,3,204.38761016463602,1038.7714561729347,862.5277278831163,841.5577472933279
changed. & absorbed the whole of the liquor - -,14,0.088,3,false,"","",false,1,1,3,240.80911772919703,1065.259764071323,932.0597045249399,928.7487502419185
