consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
264,1,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,280.0593987685621,341.069177834118,247.30749728359288,238.59181455994204
which has taken place in the papyrus is owing to the slow,2,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,305.11698659905824,1600.485331401666,278.9018471568272,253.844259326331
operation of natural causes - on endeavouring to separate,3,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,274.6120970662803,1566.7120608475188,342.09054690329583,321.39080043462513
the layers of the papyrus in which the characters exist there,4,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,304.02752625860194,1622.274538210793,412.905469032959,382.40057950018104
appeared an evident adhesion depending upon some substance,5,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,313.8326693227091,1588.501267656646,483.7203911626222,458.66280333212603
diffused through the leaves of the MS - From the smell,6,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,306.20644693951465,1592.8591090184714,545.8196305686345,517.4936617167692
emitted by the fragments when heated it occurred to me,7,-0.8199999999999932,1,true,"",FrankPearson,true,1,1,1,296.4013038754074,1605.9326331039479,614.4556320173849,594.8453458891706
that this substance might be bituminous or [deletion]its nature[/deletion],8,-0.8199999999999932,1,true,"",FrankPearson,true,1,1,1,310.56428830134007,1505.702281781963,670.0181093806591,662.3918869974646
asphaltic similar to that which is usually found in wood,9,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,311.65374864179637,1614.6483158275987,743.011952191235,719.0438247011951
partially converted into coal.,10,-0.8199999999999932,1,true,"",FrankPearson,true,1,1,1,313.8326693227091,960.9721115537848,806.2006519377037,776.785222745382
To determine this I exposed a portion of one of the,11,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,506.6671495834843,1628.8113002535313,856.3158275986962,838.8844621513945
fragments to heat in close vessels and I found that it gave,12,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,321.4588917059036,1614.6483158275987,926.0412893879029,904.2520825787758
off a considerable quantity of inflammable gas similar,13,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,329.08511408909817,1567.8015211879754,990.3194494748279,975.0670047084391
in its nature to coal gas which could not have been the,14,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,327.99565374864176,1616.8272365085113,1066.581673306773,1055.6870699022093
case had it been pure charcoal. It afforded likewise an,15,-0.8199999999999932,1,true,"",FrankPearson,true,1,1,1,324.72727272727275,1585.232886635277,1134.128214415067,1129.7703730532417
ammoniacal empyreumatic fluid smelling strongly of,16,-0.8199999999999932,1,true,"",FrankPearson,true,1,1,1,373.7529880478088,1611.3799348062296,1200.5852951829047,1213.658819268381
naphtha and partly neutralise by acetous acid - on distilling,17,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,331.2640347700109,1612.4693951466859,1281.2053603766751,1285.5632017385005
the smallest portion of the manuscript the same produc,18,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,331.2640347700109,1617.9166968489676,1360.7359652299892,1343.3045997826875
were evolved so that there was evidently some asphaltic matter,19,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,338.8902571532053,1634.258601955813,1427.1930459978269,1414.1195219123506
in them capable of being decomposed by heat,20,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,349.78486055776887,1334.657008330315,1483.8449837015573,1491.4712060847519
I endeavoured to ascertain its nature by various,21,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,523.0090546903295,1597.2169503802968,1539.4074610648315,1525.244476638899
chemical tests and to separate it without injuring the texture,22,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,333.4429554509236,1648.4215863817456,1613.490764215864,1594.9699384281057
 of the MS. I found that alcohol did not dissolve it nor boiling,23,-0.8199999999999932,1,true,"",FrankPearson,true,1,1,1,319.2799710249909,1650.6005070626584,1679.9478449837015,1669.053241579138
water but sulphuric ether became slightly coloured by being,24,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,333.4429554509236,1583.0539659543642,1748.583846432452,1743.1365447301703
kept long in contact with a piece of MS and when,25,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,338.8902571532053,1602.6642520825787,1821.5776892430279,1816.1303875407461
evaporated left a yellow matter which on being decom-,26,-0.8199999999999932,1,true,"",FrankPearson,true,1,1,1,318.1905106845346,1628.8113002535313,1879.3190872872146,1891.3031510322348
 posed by heat had the smell of asphalt mixed with a,27,-0.8199999999999932,1,true,"",FrankPearson,true,1,1,1,321.4588917059036,1608.1115537848605,1947.955088735965,1952.3129300977907
peculiar aromatic smell and was highly inflammable,28,-0.8199999999999932,1,true,gdb1,FrankPearson,true,1,1,1,320.3694313654473,1547.1017747193046,2027.4856935892792,2048.18544005795
2,29,174.472,1,true,gdb1,FrankPearson,true,1,1,1,271.3437160449113,237.57044549076417,210.26584570807674,213.53422672944586
