consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
253,1,-9.543999999999983,3,false,"","",false,1,1,3,1062.8985542925257,1136.813815267141,107.71281143326135,95.2854806864402
at the time of flowering,2,176.214,3,false,"","",false,1,1,3,863.3853704900242,351.70830520738514,1487.903320207251,1555.1598363848507
Smooth Fescue grass ___ 31.2 | Pubescent Fescue grass ___ 15.[unclear]x[/unclear],3,176.214,3,false,"","",false,1,1,3,1136.3677310418398,88.24007319136433,1412.7342727146397,1526.9004940051577
Purple Fescue grass __ 18.7. | Fertile Meadow grass ___ 65.,4,176.214,3,false,"","",false,1,1,3,1139.5487401920293,91.13828058515492,1362.9522181851,1469.7713909377583
Common quaking grass 35.9. | Striped leaved Reed Grass ___ 62.,5,176.214,3,false,"","",false,1,1,3,1142.5873110047737,84.51540889731166,1318.0101951863096,1421.4585697214413
Round headed cocks foot grass 34.3 | Meadow barley grass 78.,6,176.214,3,false,"","",false,1,1,3,1141.600731625393,75.95459959947743,1268.4651896728317,1367.695390168635
Nodding panicled Brome grass 46.8 | Flat stalked meadow grass 78.,7,176.214,3,false,"","",false,1,1,3,1128.0221665550762,85.23610872295467,1226.096765429514,1321.006111959914
Festuca cambrica __ 32.8. | Reed Meadow grass ____ 34,8,176.214,3,false,"","",false,1,1,3,1126.8053847027686,74.28491887700852,1179.8588879416382,1275.985002399329
Bromus diandrus __ 46.8. | Water Hair grass __ 32,9,176.214,3,false,"","",false,1,1,3,1140.5966355619767,72.07434264436324,1127.8893077314979,1221.3670218642637
Narrow leaved meadow grass 78.1. | Crested Brome grass __ 34,10,176.214,3,false,"","",false,1,1,3,1124.777339208535,64.88366062972841,1083.3075795628704,1172.4709700682688
Tall meadow grass _ _ 50. - | Syberian Lyme grass __ 32,11,176.214,3,false,"","",false,1,1,3,1146.3491219250136,67.7599861010674,1044.4784365050646,1126.4512108276847
Hard Fescue grass __ 50. | Hall barley grass 46.8,12,176.214,3,true,"",LH1980Lancaster,false,1,1,3,1126.9002962129007,71.32107292517446,995.5823517931415,1077.5551261157616
