consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
they enter life are little,1,-0.5550000000000068,1,false,"","",true,1,1,1,341.47661304473877,1601.2932357788086,393.4111671447754,359.03020668029785
fit for the refined intercourse,2,-0.5550000000000068,1,true,"",sruston,true,1,1,1,385.6807050704956,1714.2592487335205,508.83296298980713,535.8465747833252
of social life - A woman,3,-0.5550000000000068,1,false,"","",true,1,1,1,363.5786590576172,1699.5245513916016,700.3840284347534,690.5608968734741
of rank without beauty,4,-0.5550000000000068,1,false,"","",true,1,1,1,383.2249221801758,1598.8374528884888,911.5813570022583,874.7446136474609
or fortune is sometimes,5,-0.5550000000000068,1,false,"","",true,1,1,1,417.6058826446533,1635.6741962432861,1093.3092908859253,1027.00315284729
very [unclear]agreable a xxxxxxx[/unclear],6,-0.5550000000000068,1,true,"",sruston,true,1,1,1,437.2521457672119,1672.5109395980835,1181.717474937439,1164.5269947052002
countess without reputation,7,-0.5550000000000068,1,false,"","",true,1,1,1,437.2521457672119,1620.9394989013672,1316.7855339050293,1302.0508365631104
for talent is now & then,8,-0.5550000000000068,1,false,"","",true,1,1,1,459.35419178009033,1358.170729637146,1434.6631126403809,1400.2821521759033
"amusing, but a [unclear]hand[/unclear]",9,-0.5550000000000068,1,true,"",sruston,true,1,1,1,373.4017906188965,1684.7898540496826,1618.8468294143677,1574.6427373886108
[deletion][unclear]xx[/unclear][/deletion] is accomplished & a,10,-0.5550000000000068,1,true,"",sruston,true,1,1,1,412.6943168640137,1589.0143213272095,1716.5869808197021,1709.2196321487427
literary Duchess is beyond,11,-0.5550000000000068,1,false,"","",true,1,1,1,420.06166553497314,1630.7626304626465,1866.3897371292114,1851.6550397872925
all bearing. She has,12,-0.5550000000000068,1,false,"","",true,1,1,1,407.782751083374,1510.429268836975,2001.4577960968018,1991.6346645355225
all the disadvantages of,13,-0.5550000000000068,1,false,"","",true,1,1,1,395.5038366317749,1611.116367340088,2133.0877056121826,2177.2917976379395
a sovereign [unclear]power[/unclear],14,-0.5550000000000068,1,true,"",sruston,true,1,1,1,479.0004549026489,1507.9734859466553,2251.947650909424,2281.4170455932617
without the additional one,15,-0.5550000000000068,1,false,"","",true,1,1,1,407.782751083374,1606.2048015594482,2404.206190109253,2421.3966703414917
