consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
145,1,176.808,3,true,deehar,sruston,false,1,1,3,1023.9038228988646,927.5307480096816,80.10133528709412,92.67173635959625
oxygene,2,176.808,3,true,deehar,sruston,false,1,1,3,515.5009350776672,319.9613628387451,1366.2395399808884,1381.6033635139465
35 000,3,176.808,3,false,"","",false,1,1,3,869.4053142329024,641.3600646950094,1283.98853974122,1303.732717190388
1.3,4,176.808,3,false,"","",false,1,1,3,726.2600277264328,622.6030961182997,1226.7304251386322,1226.7304251386322
If 13.5 ) 102.0 ( [unclear]x[/unclear],5,176.808,3.3333333333333335,false,"","",false,1,1,4,945.4203974121999,229.6939648798525,953.2735674676524,1016.4549353049906
[underline]1015[/underline],6,176.808,3,false,"","",false,1,1,3,551.5240573012941,310.645092421442,899.9642883548981,912.7980036968576
5 .,7,176.808,3,true,"",E_L_Bird,false,1,1,3,427.13573937153444,314.5939279112756,856.5270979667281,858.501515711645
3,8,176.808,3,false,"","",false,1,1,3,485.3810628465807,427.13573937153444,805.1922365988908,805.1922365988908
7,9,176.808,3,false,"","",false,1,1,3,529.805462107209,454.7775878003698,617.622550831793,620.5841774491682
oxygene,10,176.808,3,true,deehar,sruston,false,1,1,3,824.1741169691085,616.0641436576842,554.5175948143007,567.0879958868028
[unclear][deletion]x[/unclear][/deletion],11,,0,true,"",E_L_Bird,false,1,1,0,,,,
7 ) 480 (,12,176.808,3.5,false,"","",false,1,1,4,888.162282809612,475.5089741219963,330.34476894639545,355.0249907578558
