consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
47,1,-2.701999999999998,3,false,"","",false,1,2,3,1133.538301847623,1213.4951214448827,44.68175212788037,37.626738634004596
Let a large [insertion]air[/insertion] thermometer,2,-2.701999999999998,3,false,"","",false,1,1,3,176.40813784513182,1267.5835582312643,277.4971974257836,258.6838281087814
of Lead have,3,-2.701999999999998,3,false,"","",false,1,1,3,171.70479551588124,1015.9547436163587,444.4658501141789,402.1357691509238
a tube affixed,4,-2.701999999999998,3,false,"","",false,1,1,3,157.59476852812952,1088.8565497197426,602.027818144073,552.6427236869421
to it let,5,-2.701999999999998,3,false,"","",false,1,1,3,197.57317832675938,990.0863608054806,731.3697321984638,714.9080340460868
[Pencil sketch of apparatus],6,,0,true,"",E_L_Bird,false,1,1,0,,,,
the electrical,7,-2.701999999999998,3,false,"","",false,1,1,3,178.75980900975708,980.6796761469793,1131.1538301847622,1121.7471455262612
fluid in the End,8,-2.701999999999998,3,false,"","",false,1,1,3,183.46315133900765,1189.9784097986299,1319.2875233547852,1248.7373884160265
be decomposed,9,-2.701999999999998,3,false,"","",false,1,1,4,214.03487647913636,1053.5814822503633,1469.7944778908036,1418.057712269047
by induction - see,10,-2.701999999999998,3,false,"","",false,1,1,3,190.51816483288354,1239.3635042557607,1636.7631305791988,1603.8397342744447
if the temperature,11,-2.701999999999998,3,false,"","",false,1,1,3,284.5850114178949,1253.4735312435125,1801.3801121029687,1735.5333194934606
