consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
x + x/50 =10000,1,175.781,3,true,TEHark,FrankPearson,false,1,1,3,801.050171834481,97.38248940266249,1443.5111182047954,1470.4887903002862
51 ) 100000( [unclear]19[/unclear]7,2,175.781,3,true,TEHark,FrankPearson,false,1,1,3,729.1096786092883,69.2808162442941,1290.637660148956,1309.7468617018708
[underline]51[/underline],3,175.781,3,true,TEHark,FrankPearson,false,1,1,3,533.4743912295565,384.15049087507185,1241.633162760972,1263.5677598667262
490,4,175.781,3,true,TEHark,FrankPearson,false,1,1,3,507.3216112846979,282.0703039703059,1147.1456972428587,1169.0802943486128
100,5,175.781,3,true,TEHark,FrankPearson,false,1,1,3,789.6656601151867,586.3489499065488,1173.3017549939598,1190.1745249690534
19,6,175.781,3,true,TEHark,FrankPearson,false,1,1,3,1031.9475197076667,917.2127842855875,1126.6045801448397,1135.8845708052665
[underline][unclear]4[/unclear]5[/underline],7,175.781,3,true,TEHark,FrankPearson,false,1,1,3,494.6670434580467,290.5066696485146,1082.1856081451663,1098.2147145193658
4[unclear]2[/unclear]1,8,175.781,3,true,TEHark,FrankPearson,false,1,1,3,395.11778942794894,223.85929196771025,1041.6909910998825,1052.6582703434215
50,9,175.781,3,true,TEHark,FrankPearson,false,1,1,3,814.1311707862711,632.7490190647113,1049.2869902927775,1065.3161352856532
x + y =,10,175.781,3,true,TEHark,FrankPearson,false,1,1,3,873.185827080423,561.0398142532462,957.3304769586707,982.6396126119731
100 00[unclear]1[/unclear],11,175.781,3,true,TEHark,FrankPearson,false,1,1,3,523.3507369682355,177.45922280954767,989.3854312101653,1015.5381918456858
x . y [unclear]501[/unclear],12,175.781,3,true,deehar,FrankPearson,false,1,1,3,921.9689613776218,453.74995179152586,879.4181771554718,914.0073034692011
[underline]317[/underline] -,13,175.781,3,true,"",FrankPearson,false,1,1,3,411.9905207843665,179.14647277398365,922.7380535293607,948.8908141648812
4[unclear]30[/unclear],14,175.781,3,true,TEHark,FrankPearson,false,1,1,3,352.93588379955276,158.89912563266546,856.9343008307743,871.2761572405378
50y = 10=,15,175.781,3,true,TEHark,FrankPearson,false,1,1,3,781.0814267013459,403.97526684846264,802.64710659467,802.6471065946702
Gioacchino y = x/50,16,175.781,3,true,TEHark,FrankPearson,false,1,1,3,940.7922814975747,162.71713969890413,670.1800697215888,744.4201936153379
[unclear]20[/unclear] Pettini,17,175.781,3,true,TEHark,FrankPearson,false,1,1,3,1005.5775847519695,456.7851626278082,519.8573665531761,568.9435271083789
in Casa [unclear]Valero[/unclear],18,175.781,3,true,TEHark,FrankPearson,false,1,1,3,923.6694265917336,259.7264088743143,398.63550618859387,441.6610367992082
[underline]bagni di Lucca[/underline],19,175.781,3,true,TEHark,FrankPearson,false,1,1,3,930.2155191276689,225.4162921824817,269.490533274823,290.7020067021007
