consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
109,1,2.248,1,false,"","",true,1,1,1,1685.1080350244654,1790.677246973989,233.26751223280962,237.41243883595155
you an idea of the train of argument,2,179.685,1.875,true,Katipo,a_s_wolf,false,1,1,2,1743.0553150277697,126.07693289947542,2892.486539795661,2898.1475591351164
I intend to pursue when I say that you,3,179.685,2,false,"","",false,1,1,2,1762.9989131468797,158.0176876457333,2784.943142228356,2803.9202461138602
might as well expect by taking a,4,179.685,2,false,"","",false,1,1,2,1739.4789278543458,210.91314398671352,2677.301724729451,2689.1127530036747
puppy from a wild esquimaux dog &,5,179.685,1,false,"","",true,1,1,1,1765.723409734741,148.00682462013856,2565.022405356683,2576.859580221478
educating & training him as a pointer,6,179.685,1.8571428571428572,false,"","",false,1,1,2,1742.0047711429138,178.98230819649325,2461.96665895174,2482.3845924783727
to give him the peculiar habits & ex-,7,179.685,2,false,"","",false,1,1,2,1736.237849746618,224.68577775052904,2341.0547093636224,2365.5429828598917
=cellencies of a highly finished animal of,8,179.685,2,false,"","",false,1,1,2,1763.7880581378658,179.72818942307003,2232.5881118994844,2254.8639838757695
that superior race he would no more,9,179.685,1.8571428571428572,false,"","",false,1,1,2,1736.1443296318625,184.1597570798274,2120.0845035932402,2145.6167843267226
gain the habits of the pointer however,10,179.685,2,false,"","",false,1,1,2,1719.4566917774173,129.2968425090521,2012.6301188780849,2040.5850392442494
severe the discipline to which he had been,11,179.685,2,false,"","",false,1,1,2,1715.7874609509172,191.84185097053614,1911.4420200488692,1934.852934053793
submitted & however great the pains taken,12,179.685,1.8571428571428572,true,"",RebekahMM,false,1,1,2,1737.3102460370644,194.92407227012245,1796.978382431951,1819.3680534818386
in his training than he would gain the,13,179.685,2,false,"","",false,1,1,2,1707.071256441751,206.1093345156287,1679.6105613790926,1706.1706217152541
form of the pointer or change his dense,14,179.685,1.875,false,"","",false,1,1,2,1705.5626047839062,194.70818704908538,1580.3072166060192,1605.2970970545944
shaggy hair for the smooth & sleek skin,15,179.685,2,false,"","",false,1,1,2,1688.502695332091,203.1997272269091,1463.462862356818,1497.0884930493291
of the cultivated animals,16,179.685,2,false,"","",false,1,1,2,1704.3033962330956,653.429582288868,1359.9154264896824,1397.5208108529368
On. This form of argument does appear,17,179.685,1.5714285714285714,true,"",RebekahMM,false,1,1,2,1752.3001626191174,193.2885482433894,1288.8361114543063,1282.1736721803686
to me [insertion]to be[/insertion] ridiculous: you might almost,18,179.685,1.875,false,"","",false,1,1,2,1679.0311540243645,196.77998133473784,1191.7147423171857,1173.8111596763397
as well knock me down as a reasoner,19,179.685,2,false,"","",false,1,1,2,1693.3466291198586,182.34957476566956,1077.4066062508832,1067.9769757842087
by saying that the moral and intellect,20,179.685,1.8571428571428572,false,"","",false,1,1,2,1678.569435973834,215.44407705266894,972.0805659587011,968.4883996432757
-ual qualities of the Tartar could no,21,179.685,1.7142857142857142,true,"",RebekahMM,false,1,1,2,1699.4574405060516,190.17162176631246,871.2748586011708,874.1871642908455
more change by cultivation than his,22,179.685,1.8333333333333333,false,"","",false,1,1,2,1697.7096908524604,184.52457270720788,795.2805771004931,782.9882133870498
physical ones & it would be as easy,23,179.685,1.625,false,"","",false,1,1,2,1692.691790130468,208.66445639673452,691.7647042309475,689.2737791974953
to raise his flat nose to the height,24,179.685,1,false,"","",true,1,1,1,1670.1650089025497,421.50126445293427,616.1712075471879,609.8328129053118
of the purest grecian model as to,25,179.685,2,false,"","",false,1,1,2,1668.5974052222523,223.00585011365376,512.6488883073971,492.76681097226776
exalt his gross mind to the refine,26,179.685,1.7142857142857142,false,"","",false,1,1,2,1667.6115439063856,211.83907285686496,415.97143750561617,398.13139758802674
=ments & powers of a philosopher.,27,179.685,2,false,"","",false,1,1,2,1682.0484796773362,242.39263662073415,303.104579572975,273.4589230745934
