consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
79,1,-3.2819999999999823,3,false,"","",false,1,2,3,1029.4028860465703,1072.8284013219306,134.3476878831454,128.9194984737254
One of the rails shot this day was,2,-3.2819999999999823,3,false,"","",false,1,1,3,154.1073437775928,988.69146547592,211.6993869673807,126.20540376901539
with egg.,3,-3.2819999999999823,3,false,"","",false,1,1,3,143.25096495875272,300.66845783193327,265.9812810615808,234.76919195741567
Thermometer at 4 63. rain,4,-3.2819999999999823,3,false,"","",false,1,1,3,265.38522667070316,912.6968137440401,332.476601326976,263.2671863568708
over but m. 61 only. -,5,-3.2819999999999823,3.8,true,"",E_L_Bird,false,1,1,4,188.03352758646787,776.9920785085396,404.40011100179123,328.405459269911
Weighed a Male Quail which,6,-3.2819999999999823,3,false,"","",false,1,1,3,171.74895935820786,960.1934710764651,479.03771538131645,422.0417265824063
was heavier than a female,7,-3.2819999999999823,3,false,"","",false,1,1,3,150.0362017205278,914.0538610963952,553.6753197608416,477.6806680289614
& another male [insertion]one[/insertion] of these. 1600. gr.,8,-3.2819999999999823,3,false,"","",false,1,1,3,162.2496278917228,999.5478442947604,612.0283559121069,529.2484674184516
A [insertion]Male[/insertion] Rail [underline]largest of 7[/underline]. [insertion]I believe of 10[/insertion] = 2675.,9,-3.2819999999999823,3,false,"","",false,1,1,3,193.4617169958879,934.4095713817201,692.094149701052,660.882060596887
& larger than most of the,10,-3.2819999999999823,3,false,"","",false,1,1,3,193.4617169958879,854.3437775927748,783.0163223088373,759.9465173188021
others by 3 or 400 grains,11,-3.2819999999999823,3,false,"","",false,1,1,3,189.3905749388229,819.0605464315447,853.5827846312975,833.2270743459724
larger than one by 430. -,12,-3.2819999999999823,3.8333333333333335,false,"","",false,1,1,4,194.81876434824295,961.5505184288202,928.2203890108226,907.8646787254977
The sizes of the males & females,13,-3.2819999999999823,3,false,"","",false,1,1,3,207.03219051943796,968.3357551905951,1005.572088095058,979.7881884003127
"not determinate, some males",14,-3.2819999999999823,3,false,"","",false,1,1,3,226.03085345240805,928.9813819723001,1067.996266303388,1057.1398874845481
larger than some females &,15,-3.2819999999999823,3,false,"","",false,1,1,3,216.531521985923,885.55586669694,1138.5627286258482,1120.9211130452331
vice versa. The male known,16,-3.2819999999999823,3,false,"","",false,1,1,3,221.95971139534305,884.198819344585,1209.1291909483084,1190.1305280153385
by the blue feathers on throat,17,-3.2819999999999823,3,false,"","",false,1,1,3,227.38790080476298,893.69815081107,1268.8392744519285,1260.6969903377985
the female by the yellow.,18,-3.2819999999999823,3,false,"","",false,1,1,3,254.52884785186308,776.9920785085396,1333.9775473649688,1329.9064053079037
13 Thermometer 62. M. 60,19,-3.2819999999999823,3,false,"","",false,1,1,3,207.03219051943796,956.1223290194002,1441.1842882010142,1430.3279093821743
at 9. Went to the fall,20,-3.2819999999999823,3,false,"","",false,1,1,3,216.531521985923,996.8337495900503,1492.7520875905043,1500.8943717046343
"of the [unclear]Zura[/unclear], or Zeyer.",21,-3.2819999999999823,3.5,true,"",E_L_Bird,false,1,1,4,190.74762229117795,768.8497943944096,1579.6031181412245,1572.8178813794495
