consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
{_,1,-1.795000000000016,3,true,"",E_L_Bird,false,1,1,3,671.7193673671243,766.7121210509275,212.70120787096215,211.3244592820842
[underline]79[/underline],2,-1.795000000000016,3,true,"",raspence,false,1,1,3,631.7949187021748,746.0615224240138,311.8240812801483,306.31721296588745
[deletion][unclear]x[/unclear][/deletion] [unclear]9[/unclear]9.2 [Horizonal rule] 30,3,178.734,3,true,"",E_L_Bird,false,1,1,3,1060.4447031657837,406.8794654505748,1126.58083842585,1143.9970090806182
- 88 [Horizontal rule] 25,4,178.734,3,true,"",E_L_Bird,false,1,1,3,1089.5310499842303,395.7508602278775,1028.914573638378,1037.7587972116914
82.4 [Horizontal rule] 22.5,5,178.734,3,true,"",E_L_Bird,false,1,1,3,1036.4657085443494,349.5642993662884,985.676132285274,994.5203558585875
76.8 [Horizontal rule] 20,6,178.734,3,true,"",E_L_Bird,false,1,1,3,1053.171479177513,383.9585621301262,912.9569756771565,922.7838757639336
65.6 [Horizontal rule] 15,7,178.734,3,true,"",E_L_Bird,false,1,1,3,1060.0503047398515,421.3008094503067,825.4974164574855,828.4454909819234
12.5,8,178.734,3,false,"","",false,1,2,3,496.96802558817933,374.13161705930145,785.2070721208431,792.085920175206
54.4 [Horizontal rule] 10,9,178.734,3,true,"",E_L_Bird,false,1,1,3,1068.894528313165,440.9546096238606,739.020578735325,721.3321315886981
43.2 [Horizontal rule] 5,10,178.734,3,true,"",E_L_Bird,false,1,1,3,1057.1022302154138,455.6949822460498,647.6302684777525,643.6994724558037
32 [Horizontal rule] 0,11,178.734,3,true,"",E_L_Bird,false,1,1,3,1039.4137830687869,441.93733112137147,531.6726405271663,565.0841817934934
180 [Horizontal rule],12,178.734,3,true,"",E_L_Bird,false,1,1,3,999.1234387321445,592.2891318677007,313.5151257187671,342.9958709631454
