consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
& some of them appeared,1,0.587,1,false,"","",true,1,1,1,537.5379898804745,1781.7483487600553,464.2534842677735,457.31881050128004
to me actually to die,2,0.587,1,false,"","",true,1,1,1,569.7853425944161,1712.3642877702202,619.6230211631395,624.3780127554498
whilst in the act,3,0.587,1,false,"","",true,1,1,1,584.0727113662875,1750.3071798639621,770.5361530653981,776.5825316992623
of feeding on their,4,0.587,1,false,"","",true,1,1,1,618.5146755843723,1786.436158367545,938.0208412234324,936.281574283074
last meal of ambrosia |_,5,0.587,1,true,"",deehar,true,1,1,1,640.5429019405857,1788.339647937465,1098.2349456908698,1105.722004665889
Happy beings| whose,6,0.587,1,true,"",deehar,true,1,1,1,616.9844192634562,1670.1292133129327,1257.5458256957174,1283.0227272727275
instincts provide for,7,0.587,1,false,"","",true,1,1,1,665.9451568677948,1755.2786467406947,1417.8793648028359,1424.0825014012817
their [deletion]happiness[/deletion][insertion]enjoyment[/insertion] in their,8,0.587,1,true,"",deehar,true,1,1,1,639.0872922694703,1806.5385011588978,1569.4419225583615,1550.2651982245384
last moments & [insertion]it perhaps may be said[/insertion] [deletion]that[/deletion] Man,9,0.587,1.6,true,"",deehar,false,1,1,2,638.188880595507,1866.5493354881014,1711.743194319566,1721.6701558584034
[deletion]is only happy[/deletion] [insertion]feels pure pleasure only[/insertion] when,10,0.587,1,false,"","",true,1,1,1,710.2554081895443,1799.5441100725639,1847.6574510308888,1853.8755169592946
governed by like instincts -,11,0.587,1,false,"","",true,1,1,1,668.2965263365197,1893.0688976079743,2032.6915665570891,2036.7971322961325
His reason gives him caution,12,0.587,1.8,true,plphy,deehar,false,1,1,2,723.1555942035613,1902.1531251006218,2189.3790493008587,2220.4593893023903
fear or dependency & is I,13,0.587,1.8333333333333333,false,"","",false,1,1,2,720.2345225877715,1858.6526254569067,2315.665400126838,2351.509548738966
[insertion]think a dead weight in life[/insertion] & he seldom finds,14,0.587,1,true,"",deehar,true,1,1,1,664.2133545924164,1628.2823014346095,2480.3699194073715,2487.864443047371
in the cup of death,15,0.587,1.8,true,"",deehar,false,1,1,2,631.0076863894983,1753.9637786370677,2597.5870188714243,2613.114125708475
the nectar of the autumnal,16,0.587,1,false,"","",true,1,1,1,662.5263403069185,1877.7737990637927,2720.9486070503403,2740.9315152020117
