consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
Quet beaumont - 461,1,,0,true,"",Fierengraw,false,1,1,0,,,,
Rivier d'ournon - 696,2,,0,true,"",Fierengraw,false,1,1,0,,,,
Rivier d'allomont - 666,3,,0,true,"",RebekahMM,false,1,1,0,,,,
Sassy - - 518,4,,0,true,"",Fierengraw,false,1,1,0,,,,
Sarcana - 681,5,,0,true,"",RebekahMM,false,1,1,0,,,,
[deletion]St Aug[/deletion],6,,0,true,"",Fierengraw,false,1,1,0,,,,
St Christophe en oysans - 802,7,,0,true,"",Fierengraw,false,1,1,0,,,,
Lac du Sept laux - 1114 Guerin,8,,0,true,"",Fierengraw,false,1,1,0,,,,
Sept laux ou 7 lacs - 1258 Villars,9,,0,true,"",RebekahMM,false,1,1,0,,,,
cols sur Sept. laux - 1524,10,,0,true,"",Fierengraw,false,1,1,0,,,,
Souchons - 447,11,,0,true,"",Fierengraw,false,1,1,0,,,,
Vizile - {151 Villars,12,,0,true,"",Fierengraw,false,1,1,0,,,,
{ 171 Geurin,13,,0,true,"",Fierengraw,false,1,1,0,,,,
Vinosque en Orysans - 547,14,,0,true,"",Fierengraw,false,1,1,0,,,,
Versou pres Grenoble - 151,15,,0,true,"",Fierengraw,false,1,1,0,,,,
Verretier d'Allemont - 002,16,,0,true,"",Fierengraw,false,1,1,0,,,,
Grenoble - 151 Guerin assaison on XI [insertion]page 167[/insertion],17,,0,true,"",RebekahMM,false,1,1,0,,,,
La ferrière - - 478 id ,18,89.753,1,true,"",Fierengraw,true,1,1,1,570.8322042518641,567.3735257777197,495.1291818661188,644.5440945879224
[underline]Jura[/underline].,19,,0,true,"",Fierengraw,false,1,1,0,,,,
La Reculet - 1726 865 Peuch Stat p. 3,20,,0,true,"",RebekahMM,false,1,1,0,,,,
La Dole - 1650 826 id,21,,0,true,"",Fierengraw,false,1,1,0,,,,
Le Mont Poussel pres de,22,,0,true,"",RebekahMM,false,1,1,0,,,,
Salons - 800 400 id.,23,,0,true,"",Fierengraw,false,1,1,0,,,,
[underline]Leman[/underline],24,,0,true,"",Fierengraw,false,1,1,0,,,,
"Chalot de Blautiera defus{ - 985,000} Berger bar form de { [unclear]Delue Fromb by[/unclear]",25,,0,true,"",RebekahMM,false,1,1,0,,,,
{- 1006.166},26,,0,true,"",Fierengraw,false,1,1,0,,,,
{- 977.666 De Saussure Voy II 655.,27,,0,true,"",RebekahMM,false,1,1,0,,,,
Pied de lay de Blothere - {-1237.656} Berger douteuse,28,,0,true,"",Fierengraw,false,1,1,0,,,,
{- 1314.666},29,,0,true,"",Fierengraw,false,1,1,0,,,,
Pied du l'aiguille du midi{ - 1339.333} Berger.,30,,0,true,"",Fierengraw,false,1,1,0,,,,
{- 1366.666},31,,0,true,"",Fierengraw,false,1,1,0,,,,
Hospice du mont anvert{ - 975.166} Berger,32,,0,true,"",Fierengraw,false,1,1,0,,,,
{- 994.000},33,,0,true,"",Fierengraw,false,1,1,0,,,,
{ - 994.000 carte des environs [insertion]du mont Blanc[/insertion],34,,0,true,"",RebekahMM,false,1,1,0,,,,
Le chapeau - { - 810.833} Berger,35,,0,true,"",Fierengraw,false,1,1,0,,,,
{- 826.333},36,,0,true,"",Fierengraw,false,1,1,0,,,,
Pied de laigaille de Dru{ - 1197.000} Berger,37,,0,true,"",Fierengraw,false,1,1,0,,,,
{- 1222.000},38,,0,true,"",Fierengraw,false,1,1,0,,,,
Aiguille de Dru - - 1956. - Pictet tryon:,39,,0,true,"",Fierengraw,false,1,1,0,,,,
Lac de Genêve - { - 198.[superscript]t[/superscript] 4[superscript]p[/superscript] Andre de Gy,40,,0,true,"",Fierengraw,false,1,1,0,,,,
{-187.[superscript]t[/superscript] 4.[superscript]p[/superscript] De luc.,41,,0,true,"",RebekahMM,false,1,1,0,,,,
