consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
19,1,2.061,3,false,"","",false,1,1,3,1202.4124176502228,1265.8199214935303,85.97627878189087,84.90157532691956
Arrangement of Rocks in the order of,2,2.061,3,false,"","",false,1,1,3,323.4244031906128,1062.8203802108765,118.77464008331299,75.78650188446045
their positions NW.,3,2.061,3,false,"","",false,1,1,4,275.0627477169037,753.3057851791382,189.70506811141968,158.5386679172516
"[Ink sketch of arrangement of rocks across the mountain range - in southern Snowdonia, including Snowdon, Arran and Cader]",4,,0,true,"",E_L_Bird,false,1,1,0,,,,
CS. Clastic shist,5,2.061,4.333333333333333,false,"","",false,1,1,5,853.8341568112373,1119.0617897510529,126.9436714053154,123.6386541724205
FS. .S[superscript]e[/superscript]. Feldspar,6,2.061,3.6666666666666665,false,"","",false,1,1,4,854.6604111194611,1148.806944847107,169.08264112472534,167.4301325082779
G. Grauwacke,7,2.061,3,false,"","",false,1,1,3,859.2312860488892,1109.9807872772217,200.4339370727539,200.4339370727539
T Trass F. Feldspar,8,2.061,3.5,false,"","",false,1,1,4,839.2940168380737,1270.245759010315,239.54165744781494,244.9093837738037
F. P. Feldspar Porphyry,9,2.061,3,false,"","",false,1,1,3,829.325382232666,1241.8734912872314,273.2816514968872,284.01710414886475
T. L Transil: Limestone,10,2.061,3.25,false,"","",false,1,1,4,830.0922002792358,1228.0707664489746,314.6898241043091,326.19209480285645
B. Breccia . Si:[deletion]xxxx.[/deletion] Sienites,11,2.061,3.8,false,"","",false,1,1,4,829.9225282669067,1282.2230116128922,356.05637151002884,376.8595094680786
.S . Sandstone,12,2.061,3,false,"","",false,1,1,3,819.8564937710762,1089.6262182593346,403.7022681236267,406.3865439891815
[Pound Sterling sign] Limestone Shale .,13,2.061,4.166666666666667,false,"","",false,1,1,6,819.1854248046875,1174.180908024311,448.66388887166977,450.6770957708359
Secondary Shale,14,2.061,3,false,"","",false,1,1,4,945.7143594026566,1149.8290972709656,495.92981815338135,499.3223068714142
[unclear]Allton[/unclear],15,2.061,2,false,"","",true,1,1,5,50.92154574394226,156.24248433113098,359.4180209636688,368.01564860343933
Cader,16,2.061,3,false,"","",false,1,1,4,262.3998227119446,329.031436920166,315.82013089954853,319.04424126446247
Snowdon,17,2.061,3,false,"","",false,1,1,3,476.26581025123596,588.0349695682526,256.7114408761263,252.41262705624104
Berwyn,18,2.061,3,false,"","",false,1,1,4,640.7907764911652,743.246310710907,338.1858557462692,348.92716175317764
CS,19,2.061,3,false,"","",false,1,1,3,492.8912553191185,528.4201905727386,306.7881920337677,311.74571788311005
F. T,20,2.061,3,false,"","",false,1,1,3,255.7562688589096,361.5168203115463,377.01980823278427,378.6723168492317
FS,21,2.061,3,false,"","",false,1,1,3,529.2464448809624,580.4742119908333,388.5873685479164,391.0661314725876
Si:,22,2.061,3,false,"","",false,1,1,3,632.5282334089279,693.6710522174835,428.24757093191147,443.94640278816223
Si: B,23,2.061,3,false,"","",false,1,1,3,238.4049283862114,407.7870615720749,414.20124769210815,412.5487390756607
[unclear]Lwydin[/unclear],24,2.061,3,false,"","",false,1,1,3,1179.976446479559,1278.3542548120022,453.0049366056919,462.1490277647972
T,25,2.061,3,false,"","",false,1,1,3,438.3584709763527,473.0611519217491,435.683859705925,438.9888769388199
CS,26,2.061,3,false,"","",false,1,1,3,27.278069734573364,67.04209756851196,434.64726281166077,434.64726281166077
CS,27,2.061,3,false,"","",false,1,1,3,207.8335189819336,261.5400490164757,453.8614544868469,459.645234644413
T.,28,2.061,3,false,"","",false,1,1,3,692.8447979092598,742.4200564026833,475.34406650066376,472.8653035759926
[unclear]Lensey sxx[/unclear],29,2.061,3,false,"","",false,1,1,3,866.1195615530014,940.8722499012947,487.07365077733994,491.1299982070923
G G,30,2.061,3,false,"","",false,1,1,3,416.04960465431213,614.350638628006,475.34406650066376,485.25911819934845
S.S.,31,2.061,3,false,"","",false,1,1,3,800.4027593135834,854.11716401577,495.92981815338135,501.5839660167694
[unclear]Last.[/unclear] Hill,32,2.061,3,false,"","",false,1,1,3,922.9795836210251,1038.8689731359482,523.1842455863953,539.2799941301346
T[unclear]L=[/unclear],33,2.061,2,true,TEHark,E_L_Bird,true,1,1,5,1163.4673944115639,1227.4727751910686,534.2569918036461,543.1336504518986
Sl -,34,2.061,3,false,"","",false,1,1,4,687.0610177516937,739.1150391697884,532.3556212186813,543.0969272255898
C.,35,2.061,3,false,"","",false,1,1,3,815.1980600357056,851.6957886219025,543.7129821777344,545.8599073886871
T [deletion]x[/deletion],36,2.061,3.5,false,"","",false,1,1,4,22.97925591468811,102.50731158256531,533.5199806690216,523.8476495742798
TL,37,2.061,3,false,"","",false,1,1,3,854.2814303338528,902.4022640585899,573.2818177342415,578.4209358990192
F.,38,2.061,3,false,"","",false,1,1,3,126.1507875919342,174.5124430656433,561.4622704982758,555.0140497684479
CS,39,2.061,3,false,"","",false,1,1,3,169.13892579078674,235.77053999900818,586.180449962616,588.3298568725586
S,40,2.061,3,false,"","",false,1,1,3,405.03148233890533,429.9097329378128,645.9406046867371,645.9406046867371
B Strata in Canarvon. B,41,2.061,4.2,false,"","",false,1,1,5,113.27127456665039,692.1707096099854,643.6830991506577,606.7544524669647
L,42,2.061,3,false,"","",false,1,1,3,368.7954647541046,399.9618649482727,670.472265958786,673.6963763237
S,43,2.061,3,false,"","",false,1,1,3,339.0827865600586,378.6337661743164,694.8887391090393,701.0685796737671
Si,44,2.061,3,false,"","",false,1,1,5,259.50303387641907,306.47786152362823,706.3290719389915,709.6844167709351
E,45,2.061,2,true,TEHark,E_L_Bird,true,1,1,5,272.9244132041931,302.451447725296,735.8561064600945,734.513968527317
S,46,2.061,3,false,"","",false,1,1,3,284.33258563280106,327.280999481678,762.6988651156425,761.3567271828651
B B B B,47,2.061,3,false,"","",false,1,1,3,421.47764360904694,1044.755505144596,828.9091786146164,804.855439722538
