consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
Geology Lecture 1st 1805,1,0.216,1,false,"","",true,1,1,1,665.5145022995271,1976.2801675984774,897.9249521558778,864.5296262673257
So different are the exertions of the faculties,2,0.216,1,false,"","",true,1,1,1,392.786202171178,2371.4580667587265,1234.6608983101432,1265.273324608322
"of the mind, and so infinitely various the",3,0.216,2,false,"","",false,1,1,2,263.3592166529232,2316.9439704208135,1409.5315399159304,1421.457605638547
combinations of our ideas & [underline]that the same[/underline],4,0.216,1,true,"",sruston,true,1,1,1,268.3092034884812,2244.129982305103,1572.924197660091,1605.0339613948986
[underline]objects[/underline] may be examined with the most opposite,5,0.216,1.625,true,"",deehar,false,1,1,2,250.11248858659073,2508.2963271179997,1738.6636546953537,1756.0546180412239
views and considered under many diversified,6,0.216,2,false,"","",false,1,1,2,246.07633646907163,2360.494773264264,1914.9043974372094,1946.012703114688
and beautiful relations.-,7,0.216,1,true,"",deehar,true,1,1,1,308.7385563850403,1464.2928586006165,2080.4001564979553,2097.1960039138794
It is on this fact of our nature so familiar,8,0.216,1,false,"","",true,1,1,1,490.13370847702026,2438.4520087242126,2335.697037220001,2298.7461729049683
to every understanding that the great extent [deletion]of[/deletion],9,0.216,1,false,"","",false,1,1,2,227.60090431155515,2457.2883116462745,2559.2309507284226,2558.5981102104524
and progression of science and philosophy depend -,10,,0,true,"",deehar,false,1,1,0,,,,
Hence their division into various branches and,11,0.216,1,false,"","",true,1,1,1,343.03458837707586,2461.986118810974,2832.770723014308,2830.668560576522
hence the [deletion]distinguished[/deletion] distinctness and,12,0.216,1,false,"","",true,1,1,1,298.88980868031,2287.508982034056,3028.2693037414456,3040.8820377979746
accuracy of the different species of [underline]Knowledge[/underline],13,0.216,1,false,"","",true,1,1,1,256.8471312787834,2516.6417407679432,3223.767824326037,3246.891190143856
