consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
Rome de Lisle and the Abbe H in their,1,0.134,1,false,"","",true,1,1,1,205.49866624778673,2362.0802456201295,621.5339395872469,576.001507009328
late refined speculations upon the forms,2,0.134,1,false,"","",true,1,1,1,188.94141803763438,2362.0802456201295,803.6636698989226,787.1064216887703
of minerals having supposed six primitive,3,0.134,1,false,"","",true,1,1,1,180.66279393255815,2403.47336614551,1014.7685845783649,973.3754640529842
or Geometrical [underline]elements[/underline] capable like,4,0.134,1,false,"","",true,1,1,1,193.0807300901725,2345.522997409977,1217.5948751527312,1213.455563100193
those of the Philosopher of Crotona of,5,0.134,1,false,"","",true,1,1,1,222.05591445793908,2304.1298768845963,1403.863917516945,1424.5604777796354
being united in various arrangements and,6,0.134,1,false,"","",true,1,1,1,193.0807300901725,2411.7519902505865,1594.2722719336969,1648.083328616692
and of being again resolved into their,7,0.134,1,false,"","",true,1,1,1,193.0807300901725,2320.6871250947484,1805.3771866131392,1821.9344348232917
original forms -,8,0.134,1,true,"",deehar,true,1,1,1,188.94141803763438,1128.5652539637797,2008.2034771875055,1999.9248530824293
The few features that are develloped to us,9,0.134,1,false,"","",true,1,1,1,308.3764721367892,2448.4059709794446,2203.1110124979714,2225.6851633296446
of the understanding of pythagoras in an age,10,0.134,1,false,"","",true,1,1,1,172.93156714674774,2470.980121811118,2415.308030315703,2474.000822478054
of darkness and of ignorance are at least,11,0.134,1,false,"","",true,1,1,1,181.96122747941718,2439.376310646775,2609.4457274680954,2636.5347084661043
sufficient to explain his great influence,12,0.134,1,false,"","",true,1,1,1,186.4760576457519,2475.4949519774527,2817.127915119493,2826.157575452162
upon Philosophy,13,0.134,1,false,"","",true,1,1,1,168.41673698041302,1075.897600413691,3038.3545932698935,3042.8694234362283
[deletion]His discoveries even as imperfectly[/deletion],14,0.134,1,false,"","",true,1,1,1,308.7791398208519,2277.2450923427878,3216.596313935715,3230.140804434719
[deletion]displayed are of a high stamp[/deletion],15,0.134,1,false,"","",true,1,1,1,206.67611556877887,2168.7100284718317,3409.681666153512,3384.8457938382835
