consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
spring up here [deletion]almost[/deletion],1,-1.5600000000000023,1,false,"","",true,1,1,1,313.269465569672,2403.958634543261,572.1914543707767,491.3360153932716
spontaneously & attain,2,-1.5600000000000023,1,false,"","",true,1,1,1,293.0556540188568,2455.9369598924814,814.7574683723368,710.8005973604745
a strength & vigour,3,-1.5600000000000023,1,false,"","",true,1,1,1,350.8094957269383,2288.450951127098,1009.4636515853446,914.1698347983523
rarely to be seen,4,-1.5600000000000023,1,false,"","",true,1,1,1,371.0233072777535,2366.4185493076393,1232.7790328664057,1146.1482703042834
elsewhere - Amongst,5,-1.5600000000000023,1,false,"","",true,1,1,1,359.4725499518082,2476.150936678363,1473.902112012365,1372.8328890232224
them peep out a number,6,-1.5600000000000023,1,false,"","",true,1,1,1,353.69719882801337,2637.8616493983072,1679.9452960788583,1630.8544535172914
of small country houses,7,-1.5600000000000023,1,false,"","",true,1,1,1,356.58484685073313,2450.1616638470423,1864.757468372337,1807.0036266642555
& villages [deletion]who[/deletion] the inhabitants,8,-1.5600000000000023,1,false,"","",true,1,1,1,267.0664362658912,2666.738570252348,2055.025191158324,1988.6082952253726
of which are well formed,9,-1.5600000000000023,1,true,"",E_L_Bird,true,1,1,1,373.9110103788287,2528.1292620275835,2234.0620674063634,2187.8590381025824
& healthy /- (Almost,10,-1.5600000000000023,1,true,"",E_L_Bird,true,1,1,1,327.7079259966923,2106.526261621273,2433.3128102835735,2372.671320552772
sinking under the [deletion]weight[/deletion] [insertion]heat[/insertion],11,-1.5600000000000023,1,false,"","",true,1,1,1,342.14638642371267,2574.332511644786,2632.8328890232224,2586.629914797797
of [underline]latania[/underline] the freshness,12,-1.5600000000000023,1,false,"","",true,1,1,1,342.14638642371267,2617.6478929258474,2826.308225698282,2826.308225698282
of the air which we,13,-1.5600000000000023,1,false,"","",true,1,1,1,353.69719882801337,2398.1831181844,3028.4467267549226,3034.222132957073
here experienced seemed,14,-1.5600000000000023,1,false,"","",true,1,1,1,356.58484685073313,2499.252341173543,3259.462093587249,3250.7990393623786
