consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
that are permeable to water,1,-1.9250000000000114,1,false,"","",true,1,1,1,135.1237380600894,1640.79500924099,331.5117202508872,258.49420514078224
chemical alterations very,2,-1.9250000000000114,1,false,"","",true,1,1,1,154.0075765187688,1469.581591774654,438.5202022155166,391.93997770581615
often occur.,3,-1.9250000000000114,1,false,"","",true,1,1,1,166.5968021578884,726.8172790665976,566.9302012831561,540.4928786666951
- Thus we are told by,4,-1.9250000000000114,1,false,"","",true,1,1,1,339.59998445672466,1534.317420770639,702.9093667564207,675.2130607455407
M[superscript]r[/superscript] Stevens in the [insertion]52 V[superscript]o[/superscript] of the[/insertion] philosophical,5,-1.9250000000000114,1,false,"","",true,1,1,1,172.1632930612509,1708.0487089776443,846.4265262359615,791.0339462302579
"Transactions ""that in the",6,-1.9250000000000114,1,true,"",deehar,true,1,1,1,186.0114380626768,1506.6210987517309,955.9527598815503,914.4083248772725
"month of August 1751 -""|_|_The",7,-1.9250000000000114,1,true,"",deehar,true,1,1,1,189.78821215762397,1617.406258763138,1076.8093268174998,1025.1935209067433
[deletion]Cliffs whence C[/deletion][insertion]Pyrites[/insertion] in the Cliffs near,8,-1.9250000000000114,1,true,"",deehar,true,1,1,1,202.37743779674358,1710.5665797183135,1249.28177570234,1215.290776831759
Charmouth in Dorsetshire being,9,-1.9250000000000114,1,false,"","",true,1,1,1,259.0289531727817,1606.0761605906916,1361.3258350660183,1309.7099811311773
wetted by [deletion]the[/deletion] Rain & the,10,-1.9250000000000114,1,true,"",deehar,true,1,1,1,251.47543699894388,1662.7276759667297,1473.3698984317039,1419.2362217802781
"spray of the waves, [underline]took[/underline]",11,-1.9250000000000114,1,false,"","",true,1,1,1,252.73434035322194,1674.0577741391764,1595.4853807279526,1537.5749940136925
fire & first began to smoke,12,-1.9250000000000114,1,false,"","",true,1,1,1,258.7660907127365,1763.1784105152747,1699.898185276234,1657.094814901622
& then emitted a strong,13,-1.9250000000000114,1,false,"","",true,1,1,1,233.5876394344973,1492.510187338429,1834.6028772035743,1806.9066192167788
flame;- [underline]& the effect[/underline],14,-1.9250000000000114,1,true,"",deehar,true,1,1,1,244.91794571131058,1496.2869294173197,1961.7540689651048,1922.7274246613551
[underline]was imitated by[/underline] the,15,-1.9250000000000114,1,false,"","",true,1,1,1,277.6499291714159,1416.9748335037114,2095.1998095140825,2041.0661648787132
"Author |_ ""who collected",16,-1.9250000000000114,1,true,"",deehar,true,1,1,1,286.4623807155883,1508.8761550564393,2221.0921299373913,2156.8870023393456
about 100 lb. of the [unclear]waltered[/unclear],17,-1.9250000000000114,1,false,"","",true,1,1,1,301.56946108734877,1784.580119714623,2307.957710008781,2270.1900330914223
pyrites & sprinked them occasionally,18,-1.9250000000000114,1,false,"","",true,1,1,1,285.203461353282,1865.1513430949044,2389.787676663058,2389.787676663058
