consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
condensed in the organs of plants,1,-0.3190000000000168,3.8333333333333335,false,"","",false,1,1,4,129.36969862463135,1039.715165278829,172.442896795357,154.59303861315306
in new forms. Vegetable &,2,-0.3190000000000168,3,false,"","",false,1,1,3,146.0093653202057,1004.3569090366364,256.25335025787354,252.08661460876465
animal matter gradually,3,-0.3190000000000168,3,false,"","",false,1,1,3,148.09273314476013,922.0638799667358,326.0461744320346,317.71270313381683
waste or decay or by combustion,4,-0.3190000000000168,3,false,"","",false,1,1,3,147.0510492324829,1181.443174123764,404.17246785282623,389.5888930809451
are again chiefly dissipated,5,-0.3190000000000168,3,false,"","",false,1,1,3,166.84304356575012,1131.4423463344574,488.5488647472812,469.7985543262912
"into aeriform substances"" -  [unclear][deletion]xx[/unclear][/deletion]",6,-0.3190000000000168,3.2,true,"",E_L_Bird,false,1,1,4,155.38452053070068,1154.3593924045563,570.841890335083,561.466735124588
[unclear]& part[/unclear] in the forms of Heat,7,-0.3190000000000168,3.857142857142857,false,"","",false,1,1,4,139.75926184654236,1084.5665702819824,667.7184941768646,655.218287229538
"light- """,8,-0.3190000000000168,3,false,"","",false,1,1,3,207.46871614456177,449.1393837928772,740.6363680362701,739.5946841239929
[deletion]It is easy to believe[/deletion],9,-0.3190000000000168,3,false,"","",false,1,1,3,323.0956304073334,1039.774162054062,821.8877046108246,820.8460206985474
[deletion]with[/deletion] & the notion of the,10,-0.3190000000000168,3,false,"","",false,1,1,3,211.63545179367065,1016.857115983963,912.5142049789429,906.2641015052795
Pythagoreans [unclear]coincides[/unclear] with,11,-0.3190000000000168,3,false,"","",false,1,1,3,176.21819877624512,1071.0246794223785,998.9739501476288,989.5987949371338
our [deletion]su[/deletion] superficial views,12,-0.3190000000000168,3,false,"","",false,1,1,3,212.67713570594788,1034.5657424926758,1081.266990184784,1083.3503580093384
of Nature-,13,-0.3190000000000168,3.3333333333333335,true,E_L_Bird,E_L_Bird,false,1,1,6,230.79291886091232,628.9843957424164,1165.4320626854897,1177.5773364901543
- - The air becomes earth - Earth,14,-0.3190000000000168,3,false,"","",false,1,1,3,288.91672921180725,1041.9237051010132,1251.316498875618,1259.1241748929024
air,15,-0.3190000000000168,3,false,"","",false,1,1,3,271.5663380622864,421.64722150564194,1322.4531025886536,1320.7180634737015
