consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
with splendid & striking events -,1,-0.17000000000001592,3.142857142857143,true,"",raspence,false,1,1,4,960.3467293906808,2047.4303136200715,366.48831541218635,364.0120430107527
But it is nevertheless highly,2,-0.17000000000001592,3,true,"",raspence,false,1,1,3,972.7280913978493,2044.9540412186375,468.0154838709676,463.06293906810026
worthy of being [underline]considered[/underline];,3,-0.17000000000001592,3,false,"","",false,1,1,3,987.5857258064514,2007.8099551971322,554.6850179211468,532.3985663082436
both on [underline]account[/underline] of [underline]its[/underline],4,-0.17000000000001592,3,true,"",raspence,false,1,1,4,985.1094534050178,2012.7624999999998,651.2596415770607,631.4494623655913
"[underline]practical uses[/underline], & of its exalted",5,-0.17000000000001592,3,false,"","",false,1,1,3,987.5857258064514,2079.621854838709,737.9291756272399,710.6901792114694
views: - |_The [underline]lives[/underline] of [underline]Men[/underline],6,-0.17000000000001592,2.625,true,"",E_L_Bird,true,1,1,6,998.7014517429878,2073.8131284165247,803.1933327359084,815.5746572273504
"[underline]of Science[/underline] indeed, & the",7,-0.17000000000001592,3,false,"","",false,1,1,3,996.6378976610808,2011.9065059593156,902.2439286674435,885.7354960121877
details of their labours,8,-0.17000000000001592,3,false,"","",false,1,1,3,1021.4005466439646,1956.190545747827,972.4047674522808,980.6589837799088
 offer [deletion][unclear]xxx[/unclear] of [unclear]xxxxx[/unclear] impressive[/deletion],9,-0.17000000000001592,3.4,true,"",E_L_Bird,false,1,1,4,1009.0192221525227,2141.910413119455,1067.328255220002,1081.7731337933508
[deletion]traits that[/deletion] few impressive,10,-0.17000000000001592,3.75,false,"","",false,1,1,4,1009.0192221525227,2026.3513845326645,1171.0456075501952,1160.7278371406603
or seductive [underline]traits[/underline] |_But,11,-0.17000000000001592,4.2,true,"",E_L_Bird,false,1,1,6,1023.4641007258715,2077.940236580339,1246.8574603459092,1255.1116766735372
[underline]their glory [/underline]if [underline]less tumultuous[/underline],12,-0.17000000000001592,3.2,true,"",E_L_Bird,false,1,1,4,1021.4005466439646,2055.241141679362,1343.8445021955374,1358.2893807688863
than that of Heroes &,13,-0.17000000000001592,3.8,false,"","",false,1,1,5,1033.7818711354066,1844.2079193343634,1427.255425342346,1412.1584780872997
conquerors [deletion]it cannot[/deletion] [insertion](the usual subjects of historical[/insertion] ,14,-0.17000000000001592,2.75,true,"",E_L_Bird,true,1,1,5,1046.9246074605624,2107.5914055607504,1500.6746124204678,1519.2465991576307
[insertion]praise) cannot[/insertion] be said to be less,15,-0.17000000000001592,3,false,"","",false,1,1,3,1019.0463943384395,1925.4854519394428,1602.2420317119054,1591.4142613992656
durable- : Their influence,16,-0.17000000000001592,3,true,"",E_L_Bird,false,1,1,3,1029.8741646510794,1971.8901818507568,1665.6618292573683,1678.0364239003852
"though [insertion]not so[/insertion] [deletion]less[/deletion] extensive, has [deletion]been[/deletion]",17,-0.17000000000001592,3,true,"",E_L_Bird,false,1,1,3,1031.1137472123833,2059.751926913181,1784.4330309247198,1778.2457336032112
