Item,Feedback applied,Rebuild 2024-09-01,DON’T FORGET TO CHANGE METADATA BEFORE REBUILDING TEI!!!!
01a1,n,y,
01a2,n,y,
01a3,n,y,
01a4,n,y,
01a5,n,y,
01a6,n,y,
01a7,n,y,
02a1,n,y,
02b1,n,y,
02b2,n,y,
02c1,n,y,
02c2,n,y,
02c3,n,y,
02c4,n,y,
02d1,n,y,
02d2,n,y,
02d3,n,y,
02d4,n,y,
02d5,n,y,
03a1,n,y,
03a2,n,y,
03a3,n,y,
03a4,n,y,
03a5,n,y,
03a6,n,y,
03a7,n,y,
03a8,n,y,
03a9,n,y,
03b1,n,y,
03b10,n,y,
03b2,n,y,
03b3,n,y,
03b4,n,y,
03b5,n,y,
03b6,n,y,
03b7,n,y,
03b8,n,y,
03b9,n,y,
04a1,n,y,
04a2,n,y,
04a3,n,y,
04a4,n,y,
04a5,n,y,
04a6,n,y,
04a7,n,y,
04b1,n,y,
04b2,n,y,
04b3,n,y,
04b4,n,y,
04b5,n,y,
04b6,n,y,
04b7,n,y,
04b8,n,y,
04c1,n,y,
04c2,n,y,
6,n,y,
7,n,y,
07a,n,y,
8,n,N/A,
08a,n,y,
10,n,y,
11,n,y,
12,n,y,
13a,n,y,
13b,n,y,
13c,n,y,
13d,n,y,
13e,n,y,
13f,n,y,
13g,n,y,
13h,n,y,
13i,n,y,
13j,n,y,
14a,n,y,
14b,n,y,
14c,n,y,
14d,n,y,
14e,n,n,
14f,n,y,
14g,n,y,
14h,n,y,
14i,n,n,
14j,n,y,
14k,n,y,
14l,n,y,
14m,n,y,
15a,n,y,
15b,n,y,
15c,n,y,
15d,n,y,
15e,n,n,
15f,n,n,
15g,n,y,
15h,n,y,
15i,n,y,
15j,n,y,
16a,n,y,
16b,n,y,
16c,n,y,
16d,n,y,
16e,n,y,
16f,n,y,
17a,n,y,
17b,n,y,
17c,n,y,
17d,n,y,
17e,n,y,
17f,n,y,
18a,n,y,
18b,n,y,
18c,n,y,
18d,n,y,
18e,n,y,
19a,n,y,
19b,n,y,
19c,n,y,
19d,n,y,
19e,n,y,
19f,n,y,
20a,n,y,
20b,n,y,
20c,n,n,
21a,n,y,
21b,n,y,
21c,n,y,
21d,n,y,
22a,n,y,
22b,n,y,
22c,n,y,
gs61,n,y,
gs62,n,y,
gs63,n,y,
gs64,n,y,
gs65,n,y,
