notebook_id,notebook_title,page_number,page_consensus,poetry_percentage,all_classifications_json
02b1,"Notebook 02B1 (T6, 2023; lecture notes)",39,poetry,0.286,"{""Agriculture"": 0.143, ""Chemistry"": 0.143, ""Poetry"": 0.286, ""Other (anything that doesn't fit into the other categories!)"": 0.143, ""Refers to other writers/their works"": 0.143, ""Lecture notes"": 0.143}"
04b2,"Notebook 04B2 (T6, 2022; lecture notes)",36,poetry,0.2,"{""Poetry"": 0.2, ""Chemistry"": 0.2, ""Lecture notes"": 0.2, ""Refers to other writers/their works"": 0.2, ""Philosophy"": 0.2}"
04b2,"Notebook 04B2 (T6, 2022; lecture notes)",37,poetry,0.2,"{""Poetry"": 0.2, ""Chemistry"": 0.2, ""Lecture notes"": 0.2, ""Refers to other writers/their works"": 0.2, ""Philosophy"": 0.2}"
04b4,"Notebook 04B4 (T6, 2022; lecture notes)",16,poetry,0.333,"{""Poetry"": 0.333, ""Philosophy"": 0.333, ""Other (anything that doesn't fit into the other categories!)"": 0.333}"
04b4,"Notebook 04B4 (T6, 2022; lecture notes)",19,poetry,0.333,"{""Astronomy"": 0.167, ""Geology"": 0.167, ""Lecture notes"": 0.167, ""Refers to other writers/their works"": 0.167, ""Poetry"": 0.333}"
04b4,"Notebook 04B4 (T6, 2022; lecture notes)",26,poetry,0.4,"{""Astronomy"": 0.2, ""Lecture notes"": 0.2, ""Refers to other writers/their works"": 0.2, ""Poetry"": 0.4}"
04b4,"Notebook 04B4 (T6, 2022; lecture notes)",28,poetry,0.5,"{""Astronomy"": 0.25, ""Lecture notes"": 0.25, ""Poetry"": 0.5}"
04c1,"Notebook 04C1 (T6, 2022; lecture notes)",48,poetry,0.667,"{""Poetry"": 0.667, ""Other (anything that doesn't fit into the other categories!)"": 0.333}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",8,poetry,0.857,"{""Poetry"": 0.857, ""Chemistry"": 0.143}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",9,poetry,0.941,"{""Poetry"": 0.941, ""Philosophy"": 0.059}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",10,poetry,0.909,"{""Poetry"": 0.909, ""Philosophy"": 0.091}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",11,poetry,0.75,"{""Poetry"": 0.75, ""Philosophy"": 0.125, ""Geology"": 0.125}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",12,poetry,1.0,"{""Poetry"": 1.0}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",13,poetry,0.75,"{""Poetry"": 0.75, ""Agriculture"": 0.062, ""Other (anything that doesn't fit into the other categories!)"": 0.188}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",14,poetry,0.857,"{""Poetry"": 0.857, ""Other (anything that doesn't fit into the other categories!)"": 0.143}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",15,poetry,0.875,"{""Poetry"": 0.875, ""Other (anything that doesn't fit into the other categories!)"": 0.125}"
12,"Notebook 12 (T5, 2022; scientific notes, poetry)",16,poetry,0.571,"{""Poetry"": 0.571, ""Other (anything that doesn't fit into the other categories!)"": 0.429}"
