notebook1,file1,segment1_index_on_page,segment1_page_key,segment1_text,notebook2,file2,segment2_index_on_page,segment2_page_key,segment2_text,gst_similarity,total_match_length,matches_found,avg_match_length,max_match_length
14e,page_to_text.json,0,154,"151 By the imperial citys fallen walls Laying bare the bones of heroes & the monuments And Of generations of the ages past Or we might rest on that cloud covered hill Whose marble rocks are cloaked with brightest green. Where thousand flowers of unknown hues & names Scent the cool air, rarely by human breath inhaled But which the wild bee knows & ever haunts And whence descends the balmy influence Of those bright waters tepid from the fires Of ancient Appenine .",14g,page_to_text.json,1,27,Layin bare the bones of heroes & the monuments And records of the generations past. - Or wilt thou pass to that cloud covered hill Whose marble rocks are cloaked with brightest verdure green Where Flora reigns in mountain majesty Where a thousand flowers of nameless unknown sweets hues & virtues & virtues Scent the cool air rarely by human breath inhaled,0.47098402018502944,32,5,6.4,11
14e,page_to_text.json,1,154,Whose sacred source Hygeia loves. There my weary limbs I have might repose beneath the shade Of chesnuts whose time worn trunks proclaim Their xx of other centuries.,14g,page_to_text.json,0,28,"But which the wild Bee knows & ever haunts. - And whence descends your balmy influence Ye waters tepid from the sleeping fires Of ancient Appenine whose source Hygeia loves, & midst the coolness Of the mountain xxxxx & neath the shade of chesnuts whose time worn trunks proclaim Their age of other centuries. -",0.3734547820429408,14,2,7.0,10
14e,page_to_text.json,1,155,"Nursing those lofty thoughts that in the mind Spontaneous rise, blending their sacred powers With images from moutain & from flood From chesnut groves amidst the broken rocks Where the blue Lima pours to meet the wave Of foaming Serchio or midst the odrus heath And cystus flowers that clothe the stream worn sides Of the green hills whence in purity.",14g,page_to_text.json,0,27,"25 To look on Nature with a poets eye Nursing those lofty thoughts which in the mind Spontaneous arise & blending all their power With images from mountain & from flood From chesnut groves amidst the broken rocks Where the blue Lima pours to meet the wave of foaming Serchio , or midst the odorous heath And cystus flowers Which cloaks the stream-worn sides of the green hills Whence rise in mountain xxxx & mountain xxxx mountain xxxx & mountain virgin purity virgin purity Thy limpid waves of mountain Tiber Not polluted yet, by mixture with the lowland muddy rills Or turbid with the ruins of the plains When then murmerest by of ancient Latium Washing Where thou murmurest by Where thou murmurest by the falling walls of the imperial city.",0.4730527143981117,39,5,7.8,21
14e,page_to_text.json,0,157,Baths of Lucca Baths of Lucca Baths of Lucca . 1819. Aug t .,14e,page_to_text.json,0,163,At the Baths of Lucca Baths of Lucca Baths of Lucca . 1819.19 And may not all the varied life of Man Be but a larger dream. Sometimes in dreams We catch the feeble echoes as it were Of other fainter dreams.,0.5357142857142857,10,1,10.0,10
14e,page_to_text.json,0,157,Baths of Lucca Baths of Lucca Baths of Lucca . 1819. Aug t .,14g,page_to_text.json,0,92,"The thermal water of the Baths of Lucca Baths of Lucca Baths of Lucca where its temperature is the high- est at the Baths called the "" Bagni Caldi Bagni Caldi Bagni Caldi carries with it from its source a considera- ble quantity of a yellowish brown deposit having collected different specimens of this deposit I submitted them to chemical examination & found that they consisted of red oxide of iron red oxide of iron red oxide of iron & silica Not having an accurate balance I was not able to determine the exact proportions but in the statical exp t that I made the Oxide of Iron Oxide of Iron Oxide of Iron was in the largest quantity & to the silica nearly as 4 to 3 That y e Oxide of Iron Oxide of Iron Oxide of Iron & silica had been dissolved together in the water & deposited at the same time is very probable from the state in which they are found.",0.4052013422818792,9,1,9.0,9
14e,page_to_text.json,0,157,Baths of Lucca Baths of Lucca Baths of Lucca . 1819. Aug t .,14g,page_to_text.json,0,101,"97 Baths of Lucca Baths of Lucca Baths of Lucca Aug t 24, 1819 To - What is there in life's stormy day To please or cheer our sight Or warm our cold & earthborn clay Save feelings heavenly light. This is the spirit which subdues The Chaos of our mortal doom Gives it creations loveliest hues And kindles brightness midst the gloom It wakens in the mothers kiss It breathes profound in lovers sighs Dove like upon the dark abyss Of Life it rests & never dies.",0.42857142857142855,9,1,9.0,9
14e,page_to_text.json,0,157,Baths of Lucca Baths of Lucca Baths of Lucca . 1819. Aug t .,14g,page_to_text.json,0,156,"when I return } return } . + , 6.12 1 On the road to the Baths of Lucca Baths of Lucca Baths of Lucca layers of Limestone & chert very near each other & almost blended & much twisted",0.5201612903225806,9,1,9.0,9
14e,page_to_text.json,0,163,At the Baths of Lucca Baths of Lucca Baths of Lucca . 1819.19 And may not all the varied life of Man Be but a larger dream. Sometimes in dreams We catch the feeble echoes as it were Of other fainter dreams.,14g,page_to_text.json,0,22,"Ye moving stars, ye animated lamps Ye moving stars, ye animated lamps Ye moving stars that flit across the glade Ye animated lamps that midst the shade Of ancient chesnuts on the lofty hills of Liugrand . And may not all this varied life of man Be but a single longer dream - Sometimes in dreams We catch the feeble echoes as it were Of other fainter dreams - In xxxxxx The origin of thought life is lost.",0.47835497835497837,26,3,8.666666666666666,15
14e,page_to_text.json,1,163,"In infancy The origin of life is lost to memory Yet powers existed of a glorious nature Reason & thought & feeling, How we know not Nor is there aught that teaches from what lamp The flame of human life had caught its fire So dreams have no connection, yet the past Arises sometimes in them And they may Image the future.",14g,page_to_text.json,1,22,Yet power arises Reason & thought & thought & feeling how we know not nor is there aught that teaches in from what xxxxx the immortal flame of human life had burnt before burnt before caught its fire caught its fire So dreams have no connection - Yet the course Of human life & human accident,0.41097406704617334,23,3,7.666666666666667,10
14g,page_to_text.json,0,99,95 And think that life's quick troubled stream Is made more troubled by the blast. - When touched by timid fingers weak Know that Affection's like the rose It wounds but press its thorns they break And all its odour sweeter flows. When the thunder cloud is darkest It is nearest to its fall And the gloom though sadly markest To no inmate of thy soul. Passions beams rays when too concentered Raise a tempest in the mind But by rain & clouds attempered They leave fertility behind.,14g,page_to_text.json,0,102,Failings forget & let the beam of charity o'er all be cast And think that lifes quick troubled stream Is made more troubled by the blast 2 When touched by timid fingers weak Think that affections like the rose but if you but if you It wounds; but It wounds; but press its thorns they break And all its odour strong sweeter flows,0.35740469208211145,26,3,8.666666666666666,10
