notebook1,file1,segment1_index_on_page,segment1_page_key,segment1_text,notebook2,file2,segment2_index_on_page,segment2_page_key,segment2_text,lcs_jaccard,lcs_dice,lcs_ratio,containment_1_in_2,containment_2_in_1,max_containment,lcs_length,lcs_text,seq1_length,seq2_length,coverage_ratio
14e,page_to_text.json,0,4,"1 1827 28 June. Mondsee . T. 60 in room at 8. 56 in window made preparations to go to the river which joins Mondsee & Cammersee . After a morning of bright sunshine at 3 in room 62°. Went to Underact where the river joins Mondsee & Cammer see. a large stream nearly half the size of the Agger with a greener tint, saw many coarse fish & fished a little in the sunshine Caught two Grayling only & many xxxx 1 about a lb.",14e,page_to_text.json,0,8,"5 still 64. unbroken sunshine. In window in the shade .80 at 2. in window at 1/4 past . 4 83 Went at 1/2 past six in the carriage to a Chateau about 5 miles off on the river & fished, the thunder storm of last night had raised the water & it was tinted though not muddy. very few fish rose. I caught two or three small Trout & one large Grayling I should think 15 inches. It was 15 3/4 by 8 2/10 15.75. 8.2 weighed 1 lb 6 oz 12lb It was 15 3/4 by 8 2/10 15.75.",0.11650485436893204,0.20869565217391303,0.20869565217391303,0.21818181818181817,0.2,0.21818181818181817,12,. window . went river . fish caught two grayling lb .,55,60,0.2
14e,page_to_text.json,1,6,in room at one 68.69. bright sun after a heavy shower a 4 in the morning.. Headache & inf eyes Temper x appli. 4 Hirud. appli. 4 Hirud. appli. 4 Hirud. - Hottest day I have yet felt. Th. in window in shade 78. 79 at 6 in sun 108. In room approaching c. 70. Had a sabling for dinner from Aussee 3/4 of a lb & full of curd,14e,page_to_text.json,0,16,"13 65 in room 66. 67 - July 10. another bright day shall leave DV. Fussen for Kempten . found Kempten very hot & came on to a small inn there, but with bad eating midway between Kempten & Rothenbach . - a breezy day though with unclouded sky Th in room 73. at 4 in inn at 4 in inn at night 9 65. & in window below 60. - a beautiful moon. Caught in the brook a trout & B another – 11.",0.11494252873563218,0.20618556701030927,0.20618556701030927,0.21739130434782608,0.19607843137254902,0.21739130434782608,10,room bright . . . day th . window .,46,51,0.19607843137254902
14e,page_to_text.json,1,6,in room at one 68.69. bright sun after a heavy shower a 4 in the morning.. Headache & inf eyes Temper x appli. 4 Hirud. appli. 4 Hirud. appli. 4 Hirud. - Hottest day I have yet felt. Th. in window in shade 78. 79 at 6 in sun 108. In room approaching c. 70. Had a sabling for dinner from Aussee 3/4 of a lb & full of curd,14g,page_to_text.json,0,88,Bologna casa Martinetta . Sep r 30. 1819 Bologna casa Martinetta . Sep r 30. 1819 On the structure On the structure of the Solid the Solid parts of the Globe. parts of the Globe. or Geology. or Geology.,0.125,0.2222222222222222,0.2222222222222222,0.17391304347826086,0.3076923076923077,0.3076923076923077,8,. . . . . . . .,46,26,0.17391304347826086
14e,page_to_text.json,1,6,in room at one 68.69. bright sun after a heavy shower a 4 in the morning.. Headache & inf eyes Temper x appli. 4 Hirud. appli. 4 Hirud. appli. 4 Hirud. - Hottest day I have yet felt. Th. in window in shade 78. 79 at 6 in sun 108. In room approaching c. 70. Had a sabling for dinner from Aussee 3/4 of a lb & full of curd,14g,page_to_text.json,0,160,} 16.1 31 .1 x 5 Monte 1. 8 1. 8 2 Barrina 1 0 9 1 0 9 Varlo 31. 3.. 5 Monte Varlo Monte Varlo 14. Wednesday 15 . 16 F 17 S 18 S 31. 3. 5. 19. M. 20 T 30 . 19 21 W 22 T 9 23 F 12.5 24 S 11. 4 5 11. 4 5 25 S 26 M 27 T 4 7 5 28 W 29 T 1 . 4 . 5 1 . 4 . 5 30 F 4 3 1 S 2 S 3 M 39 6 39 6 4 T 36. 5 05 5. W 9. S. 10 M 11 T 6 T 12 W. 13 T 14 F 15 S 16 S 17 M 17 M 18 Tuesday 7 F 2 8 S,0.14754098360655737,0.2571428571428571,0.2571428571428571,0.1956521739130435,0.375,0.375,9,. . . . . . . . .,46,24,0.1956521739130435
14e,page_to_text.json,1,6,in room at one 68.69. bright sun after a heavy shower a 4 in the morning.. Headache & inf eyes Temper x appli. 4 Hirud. appli. 4 Hirud. appli. 4 Hirud. - Hottest day I have yet felt. Th. in window in shade 78. 79 at 6 in sun 108. In room approaching c. 70. Had a sabling for dinner from Aussee 3/4 of a lb & full of curd,14g,page_to_text.json,0,161,"157 (reversed) [vertical rule] At C asi ol xxxx fior Vetturino paid 8 Crowns 25 Basic At Perugia 15 Contra Per Pergo 2.1 2 . 2 15 S 13 ' 3 Foligno 1. 5x Or . 2 Terni 1. 6. 8. 8 Col. Fior 28. 25 Col. Fior 28. 25 8 "" 8 Perugia . 1 . 5+ Caselli - 5 31 ' 1 S 15 "" 5 0 , 0 ,, ' 5 e 5 e Genova paid Genova paid 1 ' 5 Arezzo 1 . 1 . 1 18 1",0.11688311688311688,0.20930232558139536,0.20930232558139536,0.1956521739130435,0.225,0.225,9,. . . . . . . . .,46,40,0.1956521739130435
14e,page_to_text.json,0,7,& like a fresh run salmon. July 1. T. in room 68 67. at 7 70 in window – cloudy. Left Saltzburg & came on to Transteen 2p 1/4 a good inn stopped a clear small xxxxxxx small xxxxxxx the Traun but a miniature of the great Traun - a fine evening with much lightning & thunder but no rain - fished & caught a number of small trout under half a pound. 15 or 20. Thermometer from 1/2 past 1 till 6. 70. At nine on my return under 70. & in window 68. At 10 in room 68 July 2. A bright day. T in room at 10.,14e,page_to_text.json,0,14,"11 night, thermetr at day 70 in evening at 10 67 68 in room 64 in window Fished in a small stream. & caught a great number of small trout 8 Ther. at 4 55 in window at 6 58, - a bright sunshine in room at 7 65 shall pursue my journey. had yesterday for dinner Shellies and lavants which being fresh fried were not bad. Th. here in room 68 69 .",0.14285714285714285,0.25,0.25,0.22413793103448276,0.2826086956521739,0.2826086956521739,13,room window . great number small trout . window room . room .,58,46,0.22413793103448276
14e,page_to_text.json,0,7,& like a fresh run salmon. July 1. T. in room 68 67. at 7 70 in window – cloudy. Left Saltzburg & came on to Transteen 2p 1/4 a good inn stopped a clear small xxxxxxx small xxxxxxx the Traun but a miniature of the great Traun - a fine evening with much lightning & thunder but no rain - fished & caught a number of small trout under half a pound. 15 or 20. Thermometer from 1/2 past 1 till 6. 70. At nine on my return under 70. & in window 68. At 10 in room 68 July 2. A bright day. T in room at 10.,14e,page_to_text.json,0,15,"perhaps the Chiem see Chiem see Chiem see . In returning caught some small trout in a brook we crossed. The fisherman says there are Hucho both in the Lake & the large river that feeds it – ,T in window 61 at 10 In room 65 June 9. - Ther. at 55 in window at 5 in room at 6. 63.- I intend to proceed to Fussen . A sunshiny day. - came on to Fussen .",0.12631578947368421,0.22429906542056074,0.22429906542056074,0.20689655172413793,0.24489795918367346,0.24489795918367346,12,. caught small trout . . . window room day . .,58,49,0.20689655172413793
14e,page_to_text.json,0,8,"5 still 64. unbroken sunshine. In window in the shade .80 at 2. in window at 1/4 past . 4 83 Went at 1/2 past six in the carriage to a Chateau about 5 miles off on the river & fished, the thunder storm of last night had raised the water & it was tinted though not muddy. very few fish rose. I caught two or three small Trout & one large Grayling I should think 15 inches. It was 15 3/4 by 8 2/10 15.75. 8.2 weighed 1 lb 6 oz 12lb It was 15 3/4 by 8 2/10 15.75.",14e,page_to_text.json,0,9,July 3 - Bright sunshine. T in the window shaded at 5 63. in room at 8 69.- Bavarian xxx 100- A 101 100- A 101 - is to Austria as 101 to 100 - Ther. at 2 in room 70 1/2 in window 84 in perfect shade. at 3. 85 in window at 1/2 past 3 87. & before the formation of thunder clouds.,0.11538461538461539,0.20689655172413793,0.20689655172413793,0.15,0.3333333333333333,0.3333333333333333,9,sunshine . window shade window past . thunder .,60,27,0.15
14e,page_to_text.json,0,9,July 3 - Bright sunshine. T in the window shaded at 5 63. in room at 8 69.- Bavarian xxx 100- A 101 100- A 101 - is to Austria as 101 to 100 - Ther. at 2 in room 70 1/2 in window 84 in perfect shade. at 3. 85 in window at 1/2 past 3 87. & before the formation of thunder clouds.,14g,page_to_text.json,0,88,Bologna casa Martinetta . Sep r 30. 1819 Bologna casa Martinetta . Sep r 30. 1819 On the structure On the structure of the Solid the Solid parts of the Globe. parts of the Globe. or Geology. or Geology.,0.1276595744680851,0.22641509433962265,0.22641509433962265,0.2222222222222222,0.23076923076923078,0.23076923076923078,6,. . . . . .,27,26,0.2222222222222222
14e,page_to_text.json,0,11,a bright 3/4 moon. T in window open at 10. 58. bright moon July 5 T at 7 in window 58. 59. In room 63. light clouds. shall D V D V D V proceed to Munich . Found it hot & disagreeable. T 70 in room. Vald. miser. Vald. miser. Vald. miser. xx Hir. temp. - July 6 a fine & cool night T 62 in window at 7 - 68 69. in room.,14g,page_to_text.json,0,88,Bologna casa Martinetta . Sep r 30. 1819 Bologna casa Martinetta . Sep r 30. 1819 On the structure On the structure of the Solid the Solid parts of the Globe. parts of the Globe. or Geology. or Geology.,0.11764705882352941,0.21052631578947367,0.21052631578947367,0.16,0.3076923076923077,0.3076923076923077,8,. . . . . . . .,50,26,0.16
14e,page_to_text.json,0,11,a bright 3/4 moon. T in window open at 10. 58. bright moon July 5 T at 7 in window 58. 59. In room 63. light clouds. shall D V D V D V proceed to Munich . Found it hot & disagreeable. T 70 in room. Vald. miser. Vald. miser. Vald. miser. xx Hir. temp. - July 6 a fine & cool night T 62 in window at 7 - 68 69. in room.,14g,page_to_text.json,0,160,} 16.1 31 .1 x 5 Monte 1. 8 1. 8 2 Barrina 1 0 9 1 0 9 Varlo 31. 3.. 5 Monte Varlo Monte Varlo 14. Wednesday 15 . 16 F 17 S 18 S 31. 3. 5. 19. M. 20 T 30 . 19 21 W 22 T 9 23 F 12.5 24 S 11. 4 5 11. 4 5 25 S 26 M 27 T 4 7 5 28 W 29 T 1 . 4 . 5 1 . 4 . 5 30 F 4 3 1 S 2 S 3 M 39 6 39 6 4 T 36. 5 05 5. W 9. S. 10 M 11 T 6 T 12 W. 13 T 14 F 15 S 16 S 17 M 17 M 18 Tuesday 7 F 2 8 S,0.2542372881355932,0.40540540540540543,0.40540540540540543,0.3,0.625,0.625,15,. . . . . . . . . . . . . . .,50,24,0.3
14e,page_to_text.json,0,11,a bright 3/4 moon. T in window open at 10. 58. bright moon July 5 T at 7 in window 58. 59. In room 63. light clouds. shall D V D V D V proceed to Munich . Found it hot & disagreeable. T 70 in room. Vald. miser. Vald. miser. Vald. miser. xx Hir. temp. - July 6 a fine & cool night T 62 in window at 7 - 68 69. in room.,14g,page_to_text.json,0,161,"157 (reversed) [vertical rule] At C asi ol xxxx fior Vetturino paid 8 Crowns 25 Basic At Perugia 15 Contra Per Pergo 2.1 2 . 2 15 S 13 ' 3 Foligno 1. 5x Or . 2 Terni 1. 6. 8. 8 Col. Fior 28. 25 Col. Fior 28. 25 8 "" 8 Perugia . 1 . 5+ Caselli - 5 31 ' 1 S 15 "" 5 0 , 0 ,, ' 5 e 5 e Genova paid Genova paid 1 ' 5 Arezzo 1 . 1 . 1 18 1",0.15384615384615385,0.26666666666666666,0.26666666666666666,0.24,0.3,0.3,12,. . . . . . . . . . . .,50,40,0.24
14e,page_to_text.json,0,15,"perhaps the Chiem see Chiem see Chiem see . In returning caught some small trout in a brook we crossed. The fisherman says there are Hucho both in the Lake & the large river that feeds it – ,T in window 61 at 10 In room 65 June 9. - Ther. at 55 in window at 5 in room at 6. 63.- I intend to proceed to Fussen . A sunshiny day. - came on to Fussen .",14g,page_to_text.json,0,88,Bologna casa Martinetta . Sep r 30. 1819 Bologna casa Martinetta . Sep r 30. 1819 On the structure On the structure of the Solid the Solid parts of the Globe. parts of the Globe. or Geology. or Geology.,0.11940298507462686,0.21333333333333335,0.21333333333333335,0.16326530612244897,0.3076923076923077,0.3076923076923077,8,. . . . . . . .,49,26,0.16326530612244897
