notebook1,file1,segment1_index_on_page,segment1_page_key,segment1_text,segment1_word_count,notebook2,file2,segment2_index_on_page,segment2_page_key,segment2_text,segment2_word_count,tfidf_similarity,cosine_similarity,euclidean_similarity,manhattan_similarity,jaccard_features,overlap_coefficient,shared_features,total_features_1,total_features_2,top_shared_features,vector1_norm,vector2_norm
14e,page_to_text.json,0,4,"1 1827 28 June. Mondsee . T. 60 in room at 8. 56 in window made preparations to go to the river which joins Mondsee & Cammersee . After a morning of bright sunshine at 3 in room 62°. Went to Underact where the river joins Mondsee & Cammer see. a large stream nearly half the size of the Agger with a greener tint, saw many coarse fish & fished a little in the sunshine Caught two Grayling only & many xxxx 1 about a lb.",82,14e,page_to_text.json,0,8,"5 still 64. unbroken sunshine. In window in the shade .80 at 2. in window at 1/4 past . 4 83 Went at 1/2 past six in the carriage to a Chateau about 5 miles off on the river & fished, the thunder storm of last night had raised the water & it was tinted though not muddy. very few fish rose. I caught two or three small Trout & one large Grayling I should think 15 inches. It was 15 3/4 by 8 2/10 15.75. 8.2 weighed 1 lb 6 oz 12lb It was 15 3/4 by 8 2/10 15.75.",98,0.29506798606348694,0.29506798606348694,0.4571685729577568,0.11383449531338077,0.19230769230769232,0.3225806451612903,10,31,31,fish; grayl; river; window; lb,0.9999999999999999,1.0
14e,page_to_text.json,0,4,"1 1827 28 June. Mondsee . T. 60 in room at 8. 56 in window made preparations to go to the river which joins Mondsee & Cammersee . After a morning of bright sunshine at 3 in room 62°. Went to Underact where the river joins Mondsee & Cammer see. a large stream nearly half the size of the Agger with a greener tint, saw many coarse fish & fished a little in the sunshine Caught two Grayling only & many xxxx 1 about a lb.",82,14e,page_to_text.json,1,10,"& then was fine views of the mountains with clouded intervals - reached Aibling at 4 oClock two rivers join one was clear but without fish at lunch for angling, went out but saw nothing rise, saw a fisherman who had some fish that He called - Nasen - A Carp. it is probably the nasicarp T. in room 68 .67 at 4 & 5 at 4 & 5 At window at 9. 60. In room 65 a beautiful evening & re d but d but yellowish sunset",81,0.25891501503104997,0.25891501503104997,0.45096966858030785,0.10767206436545006,0.1320754716981132,0.2413793103448276,7,31,29,room; join; fish; river; saw,0.9999999999999999,0.9999999999999999
14e,page_to_text.json,0,7,& like a fresh run salmon. July 1. T. in room 68 67. at 7 70 in window – cloudy. Left Saltzburg & came on to Transteen 2p 1/4 a good inn stopped a clear small xxxxxxx small xxxxxxx the Traun but a miniature of the great Traun - a fine evening with much lightning & thunder but no rain - fished & caught a number of small trout under half a pound. 15 or 20. Thermometer from 1/2 past 1 till 6. 70. At nine on my return under 70. & in window 68. At 10 in room 68 July 2. A bright day. T in room at 10.,102,14e,page_to_text.json,0,9,July 3 - Bright sunshine. T in the window shaded at 5 63. in room at 8 69.- Bavarian xxx 100- A 101 100- A 101 - is to Austria as 101 to 100 - Ther. at 2 in room 70 1/2 in window 84 in perfect shade. at 3. 85 in window at 1/2 past 3 87. & before the formation of thunder clouds.,60,0.30208499647696707,0.30208499647696707,0.45841016502801835,0.1195880568122831,0.13333333333333333,0.4,6,36,15,window; room; juli; shade; thunder,0.9999999999999999,1.0
14e,page_to_text.json,0,7,& like a fresh run salmon. July 1. T. in room 68 67. at 7 70 in window – cloudy. Left Saltzburg & came on to Transteen 2p 1/4 a good inn stopped a clear small xxxxxxx small xxxxxxx the Traun but a miniature of the great Traun - a fine evening with much lightning & thunder but no rain - fished & caught a number of small trout under half a pound. 15 or 20. Thermometer from 1/2 past 1 till 6. 70. At nine on my return under 70. & in window 68. At 10 in room 68 July 2. A bright day. T in room at 10.,102,14e,page_to_text.json,1,9,"90 at 4 - As the thunder clouds formed, wind & then fell to 78 - at 1/2 past 5 Went to the Traun about 3 miles below the town which was still foul at least turbid though less than last night caught only one small trout as my fishing was put an end to by a violent storm which lasted all the evening Ther r in window at 9 69 -",68,0.2732671964624068,0.2732671964624068,0.4533918578875315,0.10985317824344827,0.15384615384615385,0.3333333333333333,8,36,24,traun; small; window; caught; trout,0.9999999999999999,1.0
14e,page_to_text.json,0,7,& like a fresh run salmon. July 1. T. in room 68 67. at 7 70 in window – cloudy. Left Saltzburg & came on to Transteen 2p 1/4 a good inn stopped a clear small xxxxxxx small xxxxxxx the Traun but a miniature of the great Traun - a fine evening with much lightning & thunder but no rain - fished & caught a number of small trout under half a pound. 15 or 20. Thermometer from 1/2 past 1 till 6. 70. At nine on my return under 70. & in window 68. At 10 in room 68 July 2. A bright day. T in room at 10.,102,14e,page_to_text.json,0,10,"7 lightning & rain continuing – July 4. Rain & lightning all night & still continues at 8. T fallen to 63, 62 in window & in room 65. - Left traunstein on the Munich road – cool & fresh cool & fresh The Chiem see Chiem see Chiem see & small Lakes form beautiful x pictures in the landscape the Chiem see bounded by high mountains & surrounded by woods. rained till 1 OClock.",64,0.27453936811882657,0.27453936811882657,0.45360897241088066,0.10857995009587072,0.16363636363636364,0.32142857142857145,9,36,28,chiem; rain; juli; room; lightn,0.9999999999999999,0.9999999999999999
14e,page_to_text.json,0,7,& like a fresh run salmon. July 1. T. in room 68 67. at 7 70 in window – cloudy. Left Saltzburg & came on to Transteen 2p 1/4 a good inn stopped a clear small xxxxxxx small xxxxxxx the Traun but a miniature of the great Traun - a fine evening with much lightning & thunder but no rain - fished & caught a number of small trout under half a pound. 15 or 20. Thermometer from 1/2 past 1 till 6. 70. At nine on my return under 70. & in window 68. At 10 in room 68 July 2. A bright day. T in room at 10.,102,14e,page_to_text.json,0,14,"11 night, thermetr at day 70 in evening at 10 67 68 in room 64 in window Fished in a small stream. & caught a great number of small trout 8 Ther. at 4 55 in window at 6 58, - a bright sunshine in room at 7 65 shall pursue my journey. had yesterday for dinner Shellies and lavants which being fresh fried were not bad. Th. here in room 68 69 .",72,0.34693462248888646,0.34693462248888646,0.4666658752879825,0.12008795965190706,0.21568627450980393,0.4230769230769231,11,36,26,room; small; window; number; caught,0.9999999999999999,0.9999999999999998
14e,page_to_text.json,0,7,& like a fresh run salmon. July 1. T. in room 68 67. at 7 70 in window – cloudy. Left Saltzburg & came on to Transteen 2p 1/4 a good inn stopped a clear small xxxxxxx small xxxxxxx the Traun but a miniature of the great Traun - a fine evening with much lightning & thunder but no rain - fished & caught a number of small trout under half a pound. 15 or 20. Thermometer from 1/2 past 1 till 6. 70. At nine on my return under 70. & in window 68. At 10 in room 68 July 2. A bright day. T in room at 10.,102,14e,page_to_text.json,0,15,"perhaps the Chiem see Chiem see Chiem see . In returning caught some small trout in a brook we crossed. The fisherman says there are Hucho both in the Lake & the large river that feeds it – ,T in window 61 at 10 In room 65 June 9. - Ther. at 55 in window at 5 in room at 6. 63.- I intend to proceed to Fussen . A sunshiny day. - came on to Fussen .",74,0.25026288039061373,0.25026288039061373,0.44953311704534066,0.11143819896732117,0.1509433962264151,0.32,8,36,25,room; window; chiem; small; fussen,0.9999999999999999,0.9999999999999999
14e,page_to_text.json,0,7,& like a fresh run salmon. July 1. T. in room 68 67. at 7 70 in window – cloudy. Left Saltzburg & came on to Transteen 2p 1/4 a good inn stopped a clear small xxxxxxx small xxxxxxx the Traun but a miniature of the great Traun - a fine evening with much lightning & thunder but no rain - fished & caught a number of small trout under half a pound. 15 or 20. Thermometer from 1/2 past 1 till 6. 70. At nine on my return under 70. & in window 68. At 10 in room 68 July 2. A bright day. T in room at 10.,102,14e,page_to_text.json,0,16,"13 65 in room 66. 67 - July 10. another bright day shall leave DV. Fussen for Kempten . found Kempten very hot & came on to a small inn there, but with bad eating midway between Kempten & Rothenbach . - a breezy day though with unclouded sky Th in room 73. at 4 in inn at 4 in inn at night 9 65. & in window below 60. - a beautiful moon. Caught in the brook a trout & B another – 11.",77,0.2985298658467404,0.2985298658467404,0.45777950128219286,0.11009155072845542,0.17857142857142858,0.3333333333333333,10,36,30,inn; room; juli; kempten; small,0.9999999999999999,1.0
14e,page_to_text.json,0,8,"5 still 64. unbroken sunshine. In window in the shade .80 at 2. in window at 1/4 past . 4 83 Went at 1/2 past six in the carriage to a Chateau about 5 miles off on the river & fished, the thunder storm of last night had raised the water & it was tinted though not muddy. very few fish rose. I caught two or three small Trout & one large Grayling I should think 15 inches. It was 15 3/4 by 8 2/10 15.75. 8.2 weighed 1 lb 6 oz 12lb It was 15 3/4 by 8 2/10 15.75.",98,14e,page_to_text.json,0,9,July 3 - Bright sunshine. T in the window shaded at 5 63. in room at 8 69.- Bavarian xxx 100- A 101 100- A 101 - is to Austria as 101 to 100 - Ther. at 2 in room 70 1/2 in window 84 in perfect shade. at 3. 85 in window at 1/2 past 3 87. & before the formation of thunder clouds.,60,0.25865320349027143,0.25865320349027143,0.45092594114730605,0.11913968734947981,0.12195121951219512,0.3333333333333333,5,31,15,window; shade; past; thunder; room,1.0,1.0
14e,page_to_text.json,0,8,"5 still 64. unbroken sunshine. In window in the shade .80 at 2. in window at 1/4 past . 4 83 Went at 1/2 past six in the carriage to a Chateau about 5 miles off on the river & fished, the thunder storm of last night had raised the water & it was tinted though not muddy. very few fish rose. I caught two or three small Trout & one large Grayling I should think 15 inches. It was 15 3/4 by 8 2/10 15.75. 8.2 weighed 1 lb 6 oz 12lb It was 15 3/4 by 8 2/10 15.75.",98,14e,page_to_text.json,1,9,"90 at 4 - As the thunder clouds formed, wind & then fell to 78 - at 1/2 past 5 Went to the Traun about 3 miles below the town which was still foul at least turbid though less than last night caught only one small trout as my fishing was put an end to by a violent storm which lasted all the evening Ther r in window at 9 69 -",68,0.41212636019278903,0.41212636019278903,0.4797730537516866,0.13668139263477266,0.27906976744186046,0.5,12,31,24,past; window; fish; wa; caught,1.0,1.0
